date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.2,66.0,KAS,36Th,2772,0.06
2026-05-10,2.2,66.0,KAS,36Th,2772,0.06
2026-05-11,2.2,66.0,KAS,36Th,2772,0.06
2026-05-12,3.45,103.5,KAS,36Th,2772,0.06
2026-05-13,3.39,101.7,KAS,36Th,2772,0.06
2026-05-14,3.67,110.1,KAS,36Th,2772,0.06
2026-05-15,3.62,108.6,KAS,36Th,2772,0.06
2026-05-16,2.69,80.7,KAS,36Th,2772,0.06
2026-05-17,2.69,80.7,KAS,36Th,2772,0.06
2026-05-18,2.69,80.7,KAS,36Th,2772,0.06
2026-05-19,2.1,63.0,KAS,36Th,2772,0.06
2026-05-20,1.56,46.8,KAS,36Th,2772,0.06
2026-05-21,1.88,56.4,KAS,36Th,2772,0.06
2026-05-22,1.97,59.1,KAS,36Th,2772,0.06
2026-05-23,1.97,59.1,KAS,36Th,2772,0.06
2026-05-24,1.97,59.1,KAS,36Th,2772,0.06
2026-05-25,1.81,54.3,KAS,36Th,2772,0.06
2026-05-26,1.72,51.6,KAS,36Th,2772,0.06
2026-05-27,1.71,51.3,KAS,36Th,2772,0.06
2026-05-28,1.29,38.7,KAS,36Th,2772,0.06
2026-05-29,1.0,30.0,KAS,36Th,2772,0.06
2026-05-30,1.0,30.0,KAS,36Th,2772,0.06
2026-05-31,1.0,30.0,KAS,36Th,2772,0.06
2026-06-01,0.83,24.9,KAS,36Th,2772,0.06
2026-06-02,0.83,24.9,KAS,36Th,2772,0.06
2026-06-03,0.95,28.5,KAS,36Th,2772,0.06
2026-06-04,1.19,35.7,KAS,36Th,2772,0.06
2026-06-05,0.74,22.2,KAS,36Th,2772,0.06
2026-06-06,0.74,22.2,KAS,36Th,2772,0.06
2026-06-07,0.74,22.2,KAS,36Th,2772,0.06
2026-06-08,0.75,22.5,KAS,36Th,2772,0.06
2026-06-09,1.04,31.2,KAS,36Th,2772,0.06
2026-06-10,0.82,24.6,KAS,36Th,2772,0.06
2026-06-11,0.82,24.6,KAS,36Th,2772,0.06
2026-06-12,0.82,24.6,KAS,36Th,2772,0.06
2026-06-13,0.66,19.8,KAS,36Th,2772,0.06
2026-06-14,0.95,28.5,KAS,36Th,2772,0.06
2026-06-15,0.98,29.4,KAS,36Th,2772,0.06
2026-06-16,1.34,40.2,KAS,36Th,2772,0.06
2026-06-17,1.73,51.9,KAS,36Th,2772,0.06
2026-06-18,1.73,51.9,KAS,36Th,2772,0.06
2026-06-19,1.73,51.9,KAS,36Th,2772,0.06
2026-06-20,1.73,51.9,KAS,36Th,2772,0.06
2026-06-21,1.73,51.9,KAS,36Th,2772,0.06
2026-06-22,1.73,51.9,KAS,36Th,2772,0.06
2026-06-23,1.73,51.9,KAS,36Th,2772,0.06
2026-06-24,1.73,51.9,KAS,36Th,2772,0.06
2026-06-25,1.73,51.9,KAS,36Th,2772,0.06
