date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,9.67,290.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-10,9.67,290.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-11,9.67,290.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-12,7.9,237.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-13,7.92,237.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-14,8.12,243.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-15,8.55,256.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-16,7.99,239.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-17,7.99,239.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-18,7.99,239.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-19,7.88,236.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-20,7.73,231.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-21,6.91,207.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-22,7.03,210.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-23,7.03,210.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-24,7.03,210.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
2026-05-25,6.59,197.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,33Gh,5676,0.06
