date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-06-13,5.9,177.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-14,6.16,184.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-15,6.48,194.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-16,5.94,178.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-17,6.1,183.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-18,6.1,183.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-19,6.1,183.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-20,6.1,183.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-21,6.1,183.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-22,6.1,183.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
