date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,10.73,321.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-10,10.73,321.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-11,10.73,321.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-12,8.85,265.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-13,8.87,266.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-14,9.08,272.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-15,9.54,286.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-16,8.94,268.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-17,8.94,268.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-18,8.94,268.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-19,8.83,264.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-20,8.67,260.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-21,7.8,234.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-22,7.92,237.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-23,7.92,237.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-24,7.92,237.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-25,7.46,223.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-26,7.14,214.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-27,7.3,219.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-28,6.47,194.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-29,6.69,200.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-30,6.69,200.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-05-31,6.69,200.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-01,7.39,221.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-02,7.39,221.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-03,7.41,222.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
2026-06-04,6.64,199.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,35Gh,5775,0.06
