date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,6.15,184.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-10,6.15,184.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-11,6.15,184.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-12,5.03,150.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-13,5.04,151.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-14,5.17,155.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-15,5.44,163.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-16,5.08,152.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-17,5.08,152.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-18,5.08,152.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
2026-05-19,5.02,150.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,21Gh,3612,0.06
