date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,5.94,178.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-10,5.94,178.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-11,5.94,178.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-12,4.49,134.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-13,4.51,135.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-14,4.67,140.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-15,5.03,150.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-16,4.56,136.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-17,4.56,136.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-18,4.56,136.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-19,4.48,134.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-20,4.35,130.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-21,3.68,110.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-22,3.78,113.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-23,3.78,113.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-24,3.78,113.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-25,3.42,102.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-26,3.18,95.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-27,3.3,99.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-28,2.66,79.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-29,2.83,84.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-30,2.83,84.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-05-31,2.83,84.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-01,3.37,101.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-02,3.37,101.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-03,3.39,101.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-04,2.79,83.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-05,2.29,68.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-06,2.29,68.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-07,2.29,68.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-08,1.36,40.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-09,1.37,41.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-10,1.2,36.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-11,1.2,36.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-12,1.2,36.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-13,2.22,66.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-14,2.42,72.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-15,2.67,80.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-16,2.25,67.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-17,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-18,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-19,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-20,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-21,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-22,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-23,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-24,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-25,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
2026-06-26,2.37,71.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,27Gh,5670,0.06
