date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.92,27.6,BTC+FB+NMC,200Th,3500,0.06
2026-05-10,0.92,27.6,BTC+FB+NMC,200Th,3500,0.06
2026-05-11,0.92,27.6,BTC+FB+NMC,200Th,3500,0.06
2026-05-12,1.02,30.6,BTC+FB+NMC,200Th,3500,0.06
2026-05-13,1.02,30.6,BTC+FB+NMC,200Th,3500,0.06
2026-05-14,0.88,26.4,BTC+FB+NMC,200Th,3500,0.06
2026-05-15,1.04,31.2,BTC+FB+NMC,200Th,3500,0.06
2026-05-16,0.61,18.3,BTC+FB+NMC,200Th,3500,0.06
2026-05-17,0.61,18.3,BTC+FB+NMC,200Th,3500,0.06
2026-05-18,0.61,18.3,BTC+FB+NMC,200Th,3500,0.06
2026-05-19,0.41,12.3,BTC+FB+NMC,200Th,3500,0.06
2026-05-20,0.38,11.4,BTC+FB+NMC,200Th,3500,0.06
2026-05-21,0.44,13.2,BTC+FB+NMC,200Th,3500,0.06
2026-05-22,0.46,13.8,BTC+FB+NMC,200Th,3500,0.06
2026-05-23,0.46,13.8,BTC+FB+NMC,200Th,3500,0.06
2026-05-24,0.46,13.8,BTC+FB+NMC,200Th,3500,0.06
2026-05-25,0.4,12.0,BTC+FB+NMC,200Th,3500,0.06
2026-05-26,0.37,11.1,BTC+FB+NMC,200Th,3500,0.06
