date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.0,90.0,BTC+FB+NMC,319Th,4785,0.06
2026-05-10,3.0,90.0,BTC+FB+NMC,319Th,4785,0.06
2026-05-11,3.0,90.0,BTC+FB+NMC,319Th,4785,0.06
2026-05-12,3.16,94.8,BTC+FB+NMC,319Th,4785,0.06
2026-05-13,3.15,94.5,BTC+FB+NMC,319Th,4785,0.06
2026-05-14,2.93,87.9,BTC+FB+NMC,319Th,4785,0.06
2026-05-15,3.18,95.4,BTC+FB+NMC,319Th,4785,0.06
2026-05-16,2.5,75.0,BTC+FB+NMC,319Th,4785,0.06
2026-05-17,2.5,75.0,BTC+FB+NMC,319Th,4785,0.06
2026-05-18,2.5,75.0,BTC+FB+NMC,319Th,4785,0.06
2026-05-19,2.18,65.4,BTC+FB+NMC,319Th,4785,0.06
2026-05-20,2.14,64.2,BTC+FB+NMC,319Th,4785,0.06
2026-05-21,2.24,67.2,BTC+FB+NMC,319Th,4785,0.06
2026-05-22,2.26,67.8,BTC+FB+NMC,319Th,4785,0.06
2026-05-23,2.26,67.8,BTC+FB+NMC,319Th,4785,0.06
2026-05-24,2.26,67.8,BTC+FB+NMC,319Th,4785,0.06
2026-05-25,2.17,65.1,BTC+FB+NMC,319Th,4785,0.06
2026-05-26,2.12,63.6,BTC+FB+NMC,319Th,4785,0.06
2026-05-27,1.99,59.7,BTC+FB+NMC,319Th,4785,0.06
2026-05-28,1.81,54.3,BTC+FB+NMC,319Th,4785,0.06
2026-05-29,1.64,49.2,BTC+FB+NMC,319Th,4785,0.06
2026-05-30,1.64,49.2,BTC+FB+NMC,319Th,4785,0.06
2026-05-31,1.64,49.2,BTC+FB+NMC,319Th,4785,0.06
2026-06-01,1.47,44.1,BTC+FB+NMC,319Th,4785,0.06
2026-06-02,1.47,44.1,BTC+FB+NMC,319Th,4785,0.06
