date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.2,66.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-10,2.2,66.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-11,2.2,66.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-12,2.32,69.6,BTC+FB+NMC,234Th,3510,0.06
2026-05-13,2.31,69.3,BTC+FB+NMC,234Th,3510,0.06
2026-05-14,2.15,64.5,BTC+FB+NMC,234Th,3510,0.06
2026-05-15,2.34,70.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-16,1.84,55.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-17,1.84,55.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-18,1.84,55.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-19,1.6,48.0,BTC+FB+NMC,234Th,3510,0.06
