date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.2,66.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-10,2.2,66.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-11,2.2,66.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-12,2.32,69.6,BTC+FB+NMC,234Th,3510,0.06
2026-05-13,2.31,69.3,BTC+FB+NMC,234Th,3510,0.06
2026-05-14,2.15,64.5,BTC+FB+NMC,234Th,3510,0.06
2026-05-15,2.34,70.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-16,1.84,55.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-17,1.84,55.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-18,1.84,55.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-19,1.6,48.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-20,1.57,47.1,BTC+FB+NMC,234Th,3510,0.06
2026-05-21,1.64,49.2,BTC+FB+NMC,234Th,3510,0.06
2026-05-22,1.66,49.8,BTC+FB+NMC,234Th,3510,0.06
2026-05-23,1.66,49.8,BTC+FB+NMC,234Th,3510,0.06
2026-05-24,1.66,49.8,BTC+FB+NMC,234Th,3510,0.06
2026-05-25,1.59,47.7,BTC+FB+NMC,234Th,3510,0.06
2026-05-26,1.56,46.8,BTC+FB+NMC,234Th,3510,0.06
2026-05-27,1.46,43.8,BTC+FB+NMC,234Th,3510,0.06
2026-05-28,1.33,39.9,BTC+FB+NMC,234Th,3510,0.06
2026-05-29,1.2,36.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-30,1.2,36.0,BTC+FB+NMC,234Th,3510,0.06
2026-05-31,1.2,36.0,BTC+FB+NMC,234Th,3510,0.06
2026-06-01,1.08,32.4,BTC+FB+NMC,234Th,3510,0.06
2026-06-02,1.08,32.4,BTC+FB+NMC,234Th,3510,0.06
2026-06-03,0.74,22.2,BTC+FB+NMC,234Th,3510,0.06
2026-06-04,0.46,13.8,BTC+FB+NMC,234Th,3510,0.06
2026-06-05,0.08,2.4,BTC+FB+NMC,234Th,3510,0.06
2026-06-06,0.08,2.4,BTC+FB+NMC,234Th,3510,0.06
2026-06-07,0.08,2.4,BTC+FB+NMC,234Th,3510,0.06
2026-06-13,0.03,0.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-14,0.92,27.6,BTC+FB+NMC,234Th,3510,0.06
2026-06-15,1.03,30.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-16,1.07,32.1,BTC+FB+NMC,234Th,3510,0.06
2026-06-17,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-18,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-19,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-20,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-21,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-22,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-23,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-24,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-25,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-26,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-27,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-28,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-29,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-06-30,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-07-01,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-07-02,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-07-03,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-07-04,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-07-05,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
2026-07-06,1.13,33.9,BTC+FB+NMC,234Th,3510,0.06
