date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.32,99.6,BTC+FB+NMC,270Th,3645,0.06
2026-05-10,3.32,99.6,BTC+FB+NMC,270Th,3645,0.06
2026-05-11,3.32,99.6,BTC+FB+NMC,270Th,3645,0.06
2026-05-12,3.45,103.5,BTC+FB+NMC,270Th,3645,0.06
2026-05-13,3.44,103.2,BTC+FB+NMC,270Th,3645,0.06
2026-05-14,3.26,97.8,BTC+FB+NMC,270Th,3645,0.06
2026-05-15,3.47,104.1,BTC+FB+NMC,270Th,3645,0.06
2026-05-16,2.9,87.0,BTC+FB+NMC,270Th,3645,0.06
2026-05-17,2.9,87.0,BTC+FB+NMC,270Th,3645,0.06
2026-05-18,2.9,87.0,BTC+FB+NMC,270Th,3645,0.06
2026-05-19,2.63,78.9,BTC+FB+NMC,270Th,3645,0.06
2026-05-20,2.59,77.7,BTC+FB+NMC,270Th,3645,0.06
2026-05-21,2.67,80.1,BTC+FB+NMC,270Th,3645,0.06
2026-05-22,2.69,80.7,BTC+FB+NMC,270Th,3645,0.06
2026-05-23,2.69,80.7,BTC+FB+NMC,270Th,3645,0.06
2026-05-24,2.69,80.7,BTC+FB+NMC,270Th,3645,0.06
2026-05-25,2.62,78.6,BTC+FB+NMC,270Th,3645,0.06
2026-05-26,2.58,77.4,BTC+FB+NMC,270Th,3645,0.06
2026-05-27,2.46,73.8,BTC+FB+NMC,270Th,3645,0.06
2026-05-28,2.31,69.3,BTC+FB+NMC,270Th,3645,0.06
2026-05-29,2.17,65.1,BTC+FB+NMC,270Th,3645,0.06
2026-05-30,2.17,65.1,BTC+FB+NMC,270Th,3645,0.06
2026-05-31,2.17,65.1,BTC+FB+NMC,270Th,3645,0.06
2026-06-01,2.02,60.6,BTC+FB+NMC,270Th,3645,0.06
2026-06-02,2.02,60.6,BTC+FB+NMC,270Th,3645,0.06
