date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,8.54,256.2,BTC+FB+NMC,500Th,5500,0.06
2026-05-10,8.54,256.2,BTC+FB+NMC,500Th,5500,0.06
2026-05-11,8.54,256.2,BTC+FB+NMC,500Th,5500,0.06
2026-05-12,8.79,263.7,BTC+FB+NMC,500Th,5500,0.06
2026-05-13,8.78,263.4,BTC+FB+NMC,500Th,5500,0.06
2026-05-14,8.44,253.2,BTC+FB+NMC,500Th,5500,0.06
2026-05-15,8.83,264.9,BTC+FB+NMC,500Th,5500,0.06
2026-05-16,7.76,232.8,BTC+FB+NMC,500Th,5500,0.06
2026-05-17,7.76,232.8,BTC+FB+NMC,500Th,5500,0.06
2026-05-18,7.76,232.8,BTC+FB+NMC,500Th,5500,0.06
2026-05-19,7.26,217.8,BTC+FB+NMC,500Th,5500,0.06
2026-05-20,7.19,215.7,BTC+FB+NMC,500Th,5500,0.06
2026-05-21,7.35,220.5,BTC+FB+NMC,500Th,5500,0.06
2026-05-22,7.38,221.4,BTC+FB+NMC,500Th,5500,0.06
2026-05-23,7.38,221.4,BTC+FB+NMC,500Th,5500,0.06
2026-05-24,7.38,221.4,BTC+FB+NMC,500Th,5500,0.06
2026-05-25,7.25,217.5,BTC+FB+NMC,500Th,5500,0.06
2026-05-26,7.17,215.1,BTC+FB+NMC,500Th,5500,0.06
2026-05-27,6.96,208.8,BTC+FB+NMC,500Th,5500,0.06
2026-05-28,6.68,200.4,BTC+FB+NMC,500Th,5500,0.06
2026-05-29,6.41,192.3,BTC+FB+NMC,500Th,5500,0.06
2026-05-30,6.41,192.3,BTC+FB+NMC,500Th,5500,0.06
2026-05-31,6.41,192.3,BTC+FB+NMC,500Th,5500,0.06
2026-06-01,6.15,184.5,BTC+FB+NMC,500Th,5500,0.06
2026-06-02,6.15,184.5,BTC+FB+NMC,500Th,5500,0.06
2026-06-03,5.42,162.6,BTC+FB+NMC,500Th,5500,0.06
2026-06-04,4.82,144.6,BTC+FB+NMC,500Th,5500,0.06
2026-06-05,4.01,120.3,BTC+FB+NMC,500Th,5500,0.06
2026-06-06,4.01,120.3,BTC+FB+NMC,500Th,5500,0.06
