date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.68,110.4,BTC+FB+NMC,300Th,4050,0.06
2026-05-10,3.68,110.4,BTC+FB+NMC,300Th,4050,0.06
2026-05-11,3.68,110.4,BTC+FB+NMC,300Th,4050,0.06
2026-05-12,3.83,114.9,BTC+FB+NMC,300Th,4050,0.06
2026-05-13,3.83,114.9,BTC+FB+NMC,300Th,4050,0.06
2026-05-14,3.62,108.6,BTC+FB+NMC,300Th,4050,0.06
2026-05-15,3.86,115.8,BTC+FB+NMC,300Th,4050,0.06
2026-05-16,3.22,96.6,BTC+FB+NMC,300Th,4050,0.06
2026-05-17,3.22,96.6,BTC+FB+NMC,300Th,4050,0.06
2026-05-18,3.22,96.6,BTC+FB+NMC,300Th,4050,0.06
2026-05-19,2.92,87.6,BTC+FB+NMC,300Th,4050,0.06
2026-05-20,2.87,86.1,BTC+FB+NMC,300Th,4050,0.06
2026-05-21,2.97,89.1,BTC+FB+NMC,300Th,4050,0.06
2026-05-22,2.99,89.7,BTC+FB+NMC,300Th,4050,0.06
2026-05-23,2.99,89.7,BTC+FB+NMC,300Th,4050,0.06
2026-05-24,2.99,89.7,BTC+FB+NMC,300Th,4050,0.06
2026-05-25,2.91,87.3,BTC+FB+NMC,300Th,4050,0.06
2026-05-26,2.86,85.8,BTC+FB+NMC,300Th,4050,0.06
2026-05-27,2.74,82.2,BTC+FB+NMC,300Th,4050,0.06
2026-05-28,2.57,77.1,BTC+FB+NMC,300Th,4050,0.06
2026-05-29,2.41,72.3,BTC+FB+NMC,300Th,4050,0.06
2026-05-30,2.41,72.3,BTC+FB+NMC,300Th,4050,0.06
2026-05-31,2.41,72.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-01,2.25,67.5,BTC+FB+NMC,300Th,4050,0.06
2026-06-02,2.25,67.5,BTC+FB+NMC,300Th,4050,0.06
2026-06-03,1.81,54.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-04,1.45,43.5,BTC+FB+NMC,300Th,4050,0.06
2026-06-05,0.97,29.1,BTC+FB+NMC,300Th,4050,0.06
2026-06-06,0.97,29.1,BTC+FB+NMC,300Th,4050,0.06
2026-06-07,0.97,29.1,BTC+FB+NMC,300Th,4050,0.06
2026-06-08,0.84,25.2,BTC+FB+NMC,300Th,4050,0.06
2026-06-09,0.8,24.0,BTC+FB+NMC,300Th,4050,0.06
2026-06-10,0.62,18.6,BTC+FB+NMC,300Th,4050,0.06
2026-06-11,0.62,18.6,BTC+FB+NMC,300Th,4050,0.06
2026-06-12,0.62,18.6,BTC+FB+NMC,300Th,4050,0.06
2026-06-13,0.91,27.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-14,2.04,61.2,BTC+FB+NMC,300Th,4050,0.06
2026-06-15,2.19,65.7,BTC+FB+NMC,300Th,4050,0.06
2026-06-16,2.23,66.9,BTC+FB+NMC,300Th,4050,0.06
2026-06-17,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-18,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-19,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-20,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-21,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-22,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-23,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-24,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-25,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-26,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-27,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
2026-06-28,2.31,69.3,BTC+FB+NMC,300Th,4050,0.06
