date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.6,48.0,BTC+FB+NMC,288Th,4896,0.06
2026-05-10,1.6,48.0,BTC+FB+NMC,288Th,4896,0.06
2026-05-11,1.6,48.0,BTC+FB+NMC,288Th,4896,0.06
2026-05-12,1.75,52.5,BTC+FB+NMC,288Th,4896,0.06
2026-05-13,1.74,52.2,BTC+FB+NMC,288Th,4896,0.06
2026-05-14,1.54,46.2,BTC+FB+NMC,288Th,4896,0.06
2026-05-15,1.77,53.1,BTC+FB+NMC,288Th,4896,0.06
2026-05-16,1.15,34.5,BTC+FB+NMC,288Th,4896,0.06
2026-05-17,1.15,34.5,BTC+FB+NMC,288Th,4896,0.06
2026-05-18,1.15,34.5,BTC+FB+NMC,288Th,4896,0.06
2026-05-19,0.87,26.1,BTC+FB+NMC,288Th,4896,0.06
2026-05-20,0.82,24.6,BTC+FB+NMC,288Th,4896,0.06
2026-05-21,0.91,27.3,BTC+FB+NMC,288Th,4896,0.06
2026-05-22,0.93,27.9,BTC+FB+NMC,288Th,4896,0.06
2026-05-23,0.93,27.9,BTC+FB+NMC,288Th,4896,0.06
2026-05-24,0.93,27.9,BTC+FB+NMC,288Th,4896,0.06
2026-05-25,0.86,25.8,BTC+FB+NMC,288Th,4896,0.06
2026-05-26,0.81,24.3,BTC+FB+NMC,288Th,4896,0.06
2026-05-27,0.69,20.7,BTC+FB+NMC,288Th,4896,0.06
2026-05-28,0.53,15.9,BTC+FB+NMC,288Th,4896,0.06
2026-05-29,0.38,11.4,BTC+FB+NMC,288Th,4896,0.06
2026-05-30,0.38,11.4,BTC+FB+NMC,288Th,4896,0.06
2026-05-31,0.38,11.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-01,0.22,6.6,BTC+FB+NMC,288Th,4896,0.06
2026-06-02,0.22,6.6,BTC+FB+NMC,288Th,4896,0.06
2026-06-14,0.02,0.6,BTC+FB+NMC,288Th,4896,0.06
2026-06-15,0.16,4.8,BTC+FB+NMC,288Th,4896,0.06
2026-06-16,0.21,6.3,BTC+FB+NMC,288Th,4896,0.06
2026-06-17,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-18,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-19,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-20,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-21,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-22,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-23,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-24,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-25,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
2026-06-26,0.28,8.4,BTC+FB+NMC,288Th,4896,0.06
