date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,5.69,170.7,BTC+FB+NMC,430Th,5590,0.06
2026-05-10,5.69,170.7,BTC+FB+NMC,430Th,5590,0.06
2026-05-11,5.69,170.7,BTC+FB+NMC,430Th,5590,0.06
2026-05-12,5.91,177.3,BTC+FB+NMC,430Th,5590,0.06
2026-05-13,5.9,177.0,BTC+FB+NMC,430Th,5590,0.06
2026-05-14,5.61,168.3,BTC+FB+NMC,430Th,5590,0.06
2026-05-15,5.94,178.2,BTC+FB+NMC,430Th,5590,0.06
2026-05-16,5.02,150.6,BTC+FB+NMC,430Th,5590,0.06
2026-05-17,5.02,150.6,BTC+FB+NMC,430Th,5590,0.06
2026-05-18,5.02,150.6,BTC+FB+NMC,430Th,5590,0.06
2026-05-19,4.59,137.7,BTC+FB+NMC,430Th,5590,0.06
2026-05-20,4.53,135.9,BTC+FB+NMC,430Th,5590,0.06
2026-05-21,4.67,140.1,BTC+FB+NMC,430Th,5590,0.06
2026-05-22,4.7,141.0,BTC+FB+NMC,430Th,5590,0.06
2026-05-23,4.7,141.0,BTC+FB+NMC,430Th,5590,0.06
2026-05-24,4.7,141.0,BTC+FB+NMC,430Th,5590,0.06
2026-05-25,4.58,137.4,BTC+FB+NMC,430Th,5590,0.06
2026-05-26,4.51,135.3,BTC+FB+NMC,430Th,5590,0.06
2026-05-27,4.34,130.2,BTC+FB+NMC,430Th,5590,0.06
2026-05-28,4.09,122.7,BTC+FB+NMC,430Th,5590,0.06
2026-05-29,3.86,115.8,BTC+FB+NMC,430Th,5590,0.06
2026-05-30,3.86,115.8,BTC+FB+NMC,430Th,5590,0.06
2026-05-31,3.86,115.8,BTC+FB+NMC,430Th,5590,0.06
2026-06-01,3.64,109.2,BTC+FB+NMC,430Th,5590,0.06
2026-06-02,3.64,109.2,BTC+FB+NMC,430Th,5590,0.06
2026-06-03,3.01,90.3,BTC+FB+NMC,430Th,5590,0.06
2026-06-04,2.5,75.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-05,1.8,54.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-06,1.8,54.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-07,1.8,54.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-08,1.62,48.6,BTC+FB+NMC,430Th,5590,0.06
2026-06-09,1.56,46.8,BTC+FB+NMC,430Th,5590,0.06
2026-06-10,1.3,39.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-11,1.3,39.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-12,1.3,39.0,BTC+FB+NMC,430Th,5590,0.06
2026-06-13,1.71,51.3,BTC+FB+NMC,430Th,5590,0.06
2026-06-14,3.34,100.2,BTC+FB+NMC,430Th,5590,0.06
2026-06-15,3.55,106.5,BTC+FB+NMC,430Th,5590,0.06
2026-06-16,3.61,108.3,BTC+FB+NMC,430Th,5590,0.06
2026-06-17,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-18,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-19,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-20,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-21,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-22,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-23,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-24,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-25,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-26,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-27,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-28,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-29,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-06-30,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-01,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-02,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-03,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-04,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-05,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-06,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-07,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-08,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-09,3.73,111.9,BTC+FB+NMC,430Th,5590,0.06
2026-07-10,2.06,61.8,BTC+FB+NMC,430Th,5590,0.06
2026-07-11,2.06,61.8,BTC+FB+NMC,430Th,5590,0.06
2026-07-12,2.06,61.8,BTC+FB+NMC,430Th,5590,0.06
