date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-06-05,12.65,379.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-06,12.65,379.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-07,12.65,379.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-08,12.15,364.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-09,12.01,360.3,BTC+FB+NMC,1160Th,11020,0.06
2026-06-10,11.29,338.7,BTC+FB+NMC,1160Th,11020,0.06
2026-06-11,11.29,338.7,BTC+FB+NMC,1160Th,11020,0.06
2026-06-12,11.29,338.7,BTC+FB+NMC,1160Th,11020,0.06
2026-06-13,12.42,372.6,BTC+FB+NMC,1160Th,11020,0.06
2026-06-14,16.79,503.7,BTC+FB+NMC,1160Th,11020,0.06
2026-06-15,17.36,520.8,BTC+FB+NMC,1160Th,11020,0.06
2026-06-16,17.55,526.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-17,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-18,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-19,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-20,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-21,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-22,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-23,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-24,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-25,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-26,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-27,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-28,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-29,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-06-30,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-01,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-02,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-03,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-04,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-05,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-06,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-07,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-08,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-09,17.85,535.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-10,13.35,400.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-11,13.35,400.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-12,13.35,400.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-13,13.35,400.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-14,13.35,400.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-15,13.35,400.5,BTC+FB+NMC,1160Th,11020,0.06
2026-07-16,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-17,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-18,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-19,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-20,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-21,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-22,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-23,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-24,16.2,486.0,BTC+FB+NMC,1160Th,11020,0.06
2026-07-25,16.37,491.1,BTC+FB+NMC,1160Th,11020,0.06
2026-07-26,16.37,491.1,BTC+FB+NMC,1160Th,11020,0.06
2026-07-27,16.37,491.1,BTC+FB+NMC,1160Th,11020,0.06
2026-07-28,15.58,467.4,BTC+FB+NMC,1160Th,11020,0.06
2026-07-29,15.58,467.4,BTC+FB+NMC,1160Th,11020,0.06
2026-07-30,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
2026-07-31,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
2026-08-01,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
2026-08-02,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
2026-08-03,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
2026-08-04,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
2026-08-05,16.02,480.6,BTC+FB+NMC,1160Th,11020,0.06
