date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,6.7,201.0,BTC+FB+NMC,442Th,5304,0.06
2026-05-10,6.7,201.0,BTC+FB+NMC,442Th,5304,0.06
2026-05-11,6.7,201.0,BTC+FB+NMC,442Th,5304,0.06
2026-05-12,6.92,207.6,BTC+FB+NMC,442Th,5304,0.06
2026-05-13,6.91,207.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-14,6.61,198.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-15,6.96,208.8,BTC+FB+NMC,442Th,5304,0.06
2026-05-16,6.01,180.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-17,6.01,180.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-18,6.01,180.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-19,5.57,167.1,BTC+FB+NMC,442Th,5304,0.06
2026-05-20,5.51,165.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-21,5.64,169.2,BTC+FB+NMC,442Th,5304,0.06
2026-05-22,5.68,170.4,BTC+FB+NMC,442Th,5304,0.06
2026-05-23,5.68,170.4,BTC+FB+NMC,442Th,5304,0.06
2026-05-24,5.68,170.4,BTC+FB+NMC,442Th,5304,0.06
2026-05-25,5.56,166.8,BTC+FB+NMC,442Th,5304,0.06
2026-05-26,5.49,164.7,BTC+FB+NMC,442Th,5304,0.06
2026-05-27,5.31,159.3,BTC+FB+NMC,442Th,5304,0.06
2026-05-28,5.06,151.8,BTC+FB+NMC,442Th,5304,0.06
2026-05-29,4.82,144.6,BTC+FB+NMC,442Th,5304,0.06
2026-05-30,4.82,144.6,BTC+FB+NMC,442Th,5304,0.06
2026-05-31,4.82,144.6,BTC+FB+NMC,442Th,5304,0.06
2026-06-01,4.59,137.7,BTC+FB+NMC,442Th,5304,0.06
2026-06-02,4.59,137.7,BTC+FB+NMC,442Th,5304,0.06
2026-06-03,3.94,118.2,BTC+FB+NMC,442Th,5304,0.06
2026-06-04,3.42,102.6,BTC+FB+NMC,442Th,5304,0.06
2026-06-05,2.7,81.0,BTC+FB+NMC,442Th,5304,0.06
2026-06-06,2.7,81.0,BTC+FB+NMC,442Th,5304,0.06
2026-06-07,2.7,81.0,BTC+FB+NMC,442Th,5304,0.06
2026-06-08,2.51,75.3,BTC+FB+NMC,442Th,5304,0.06
2026-06-09,2.45,73.5,BTC+FB+NMC,442Th,5304,0.06
2026-06-10,2.18,65.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-11,2.18,65.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-12,2.18,65.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-13,2.61,78.3,BTC+FB+NMC,442Th,5304,0.06
2026-06-14,4.28,128.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-15,4.49,134.7,BTC+FB+NMC,442Th,5304,0.06
2026-06-16,4.56,136.8,BTC+FB+NMC,442Th,5304,0.06
2026-06-17,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-18,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-19,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-20,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-21,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-22,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-23,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
2026-06-24,4.68,140.4,BTC+FB+NMC,442Th,5304,0.06
