date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,16.44,493.2,BTC+FB+NMC,865Th,8650,0.06
2026-05-10,16.44,493.2,BTC+FB+NMC,865Th,8650,0.06
2026-05-11,16.44,493.2,BTC+FB+NMC,865Th,8650,0.06
2026-05-12,16.87,506.1,BTC+FB+NMC,865Th,8650,0.06
2026-05-13,16.85,505.5,BTC+FB+NMC,865Th,8650,0.06
2026-05-14,16.26,487.8,BTC+FB+NMC,865Th,8650,0.06
2026-05-15,16.94,508.2,BTC+FB+NMC,865Th,8650,0.06
2026-05-16,15.09,452.7,BTC+FB+NMC,865Th,8650,0.06
2026-05-17,15.09,452.7,BTC+FB+NMC,865Th,8650,0.06
2026-05-18,15.09,452.7,BTC+FB+NMC,865Th,8650,0.06
2026-05-19,14.22,426.6,BTC+FB+NMC,865Th,8650,0.06
2026-05-20,14.1,423.0,BTC+FB+NMC,865Th,8650,0.06
2026-05-21,14.37,431.1,BTC+FB+NMC,865Th,8650,0.06
2026-05-22,14.43,432.9,BTC+FB+NMC,865Th,8650,0.06
2026-05-23,14.43,432.9,BTC+FB+NMC,865Th,8650,0.06
2026-05-24,14.43,432.9,BTC+FB+NMC,865Th,8650,0.06
2026-05-25,14.2,426.0,BTC+FB+NMC,865Th,8650,0.06
2026-05-26,14.06,421.8,BTC+FB+NMC,865Th,8650,0.06
2026-05-27,13.71,411.3,BTC+FB+NMC,865Th,8650,0.06
