date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-08-27,0.61,18.3,BTC+FB+NMC,190Th,3610,0.06
2026-08-28,0.61,18.3,BTC+FB+NMC,190Th,3610,0.06
2026-08-29,0.61,18.3,BTC+FB+NMC,190Th,3610,0.06
2026-08-30,0.61,18.3,BTC+FB+NMC,190Th,3610,0.06
2026-08-31,0.61,18.3,BTC+FB+NMC,190Th,3610,0.06
2026-09-01,0.55,16.5,BTC+FB+NMC,190Th,3610,0.06
2026-09-02,0.43,12.9,BTC+FB+NMC,190Th,3610,0.06
2026-09-03,0.38,11.4,BTC+FB+NMC,190Th,3610,0.06
2026-09-04,0.38,11.4,BTC+FB+NMC,190Th,3610,0.06
2026-09-05,0.38,11.4,BTC+FB+NMC,190Th,3610,0.06
