date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,4.11,123.3,XMR,212Kh,1350,0.06
2026-05-10,4.11,123.3,XMR,212Kh,1350,0.06
2026-05-11,4.11,123.3,XMR,212Kh,1350,0.06
2026-05-12,3.45,103.5,XMR,212Kh,1350,0.06
2026-05-13,3.56,106.8,XMR,212Kh,1350,0.06
2026-05-14,3.63,108.9,XMR,212Kh,1350,0.06
2026-05-15,3.7,111.0,XMR,212Kh,1350,0.06
2026-05-16,3.45,103.5,XMR,212Kh,1350,0.06
2026-05-17,3.45,103.5,XMR,212Kh,1350,0.06
2026-05-18,3.45,103.5,XMR,212Kh,1350,0.06
2026-05-19,2.6,78.0,XMR,212Kh,1350,0.06
2026-05-20,3.39,101.7,XMR,212Kh,1350,0.06
2026-05-21,3.4,102.0,XMR,212Kh,1350,0.06
2026-05-22,4.57,137.1,XMR,212Kh,1350,0.06
2026-05-23,4.57,137.1,XMR,212Kh,1350,0.06
2026-05-24,4.57,137.1,XMR,212Kh,1350,0.06
2026-05-25,3.69,110.7,XMR,212Kh,1350,0.06
2026-05-26,2.42,72.6,XMR,212Kh,1350,0.06
2026-05-27,2.95,88.5,XMR,212Kh,1350,0.06
2026-05-28,4.44,133.2,XMR,212Kh,1350,0.06
2026-05-29,3.43,102.9,XMR,212Kh,1350,0.06
2026-05-30,3.43,102.9,XMR,212Kh,1350,0.06
2026-05-31,3.43,102.9,XMR,212Kh,1350,0.06
2026-06-01,3.84,115.2,XMR,212Kh,1350,0.06
2026-06-02,3.84,115.2,XMR,212Kh,1350,0.06
2026-06-03,3.43,102.9,XMR,212Kh,1350,0.06
