date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,26.85,805.5,XMR,1Mh,2472,0.06
2026-05-10,26.85,805.5,XMR,1Mh,2472,0.06
2026-05-11,26.85,805.5,XMR,1Mh,2472,0.06
2026-05-12,23.76,712.8,XMR,1Mh,2472,0.06
2026-05-13,24.25,727.5,XMR,1Mh,2472,0.06
2026-05-14,24.58,737.4,XMR,1Mh,2472,0.06
2026-05-15,24.95,748.5,XMR,1Mh,2472,0.06
2026-05-16,23.75,712.5,XMR,1Mh,2472,0.06
2026-05-17,23.75,712.5,XMR,1Mh,2472,0.06
2026-05-18,23.75,712.5,XMR,1Mh,2472,0.06
2026-05-19,19.75,592.5,XMR,1Mh,2472,0.06
2026-05-20,23.45,703.5,XMR,1Mh,2472,0.06
2026-05-21,23.53,705.9,XMR,1Mh,2472,0.06
2026-05-22,29.04,871.2,XMR,1Mh,2472,0.06
2026-05-23,29.04,871.2,XMR,1Mh,2472,0.06
2026-05-24,29.04,871.2,XMR,1Mh,2472,0.06
2026-05-25,24.91,747.3,XMR,1Mh,2472,0.06
2026-05-26,18.91,567.3,XMR,1Mh,2472,0.06
2026-05-27,21.42,642.6,XMR,1Mh,2472,0.06
2026-05-28,28.43,852.9,XMR,1Mh,2472,0.06
2026-05-29,23.65,709.5,XMR,1Mh,2472,0.06
2026-05-30,23.65,709.5,XMR,1Mh,2472,0.06
2026-05-31,23.65,709.5,XMR,1Mh,2472,0.06
2026-06-01,25.61,768.3,XMR,1Mh,2472,0.06
