date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-07-25,22.4,672.0,ZEC,840Kh,2780,0.06
2026-07-26,22.4,672.0,ZEC,840Kh,2780,0.06
2026-07-27,22.4,672.0,ZEC,840Kh,2780,0.06
2026-07-28,20.69,620.7,ZEC,840Kh,2780,0.06
2026-07-29,20.69,620.7,ZEC,840Kh,2780,0.06
2026-07-30,20.44,613.2,ZEC,840Kh,2780,0.06
2026-07-31,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-01,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-02,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-03,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-04,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-05,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-06,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-07,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-08,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-09,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-10,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-11,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-12,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-13,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-14,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-15,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-16,20.44,613.2,ZEC,840Kh,2780,0.06
2026-08-17,20.44,613.2,ZEC,840Kh,2780,0.06
