date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-07-25,10.97,329.1,ZEC,420Kh,1510,0.06
2026-07-26,10.97,329.1,ZEC,420Kh,1510,0.06
2026-07-27,10.97,329.1,ZEC,420Kh,1510,0.06
2026-07-28,10.11,303.3,ZEC,420Kh,1510,0.06
2026-07-29,10.11,303.3,ZEC,420Kh,1510,0.06
2026-07-30,9.99,299.7,ZEC,420Kh,1510,0.06
2026-07-31,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-01,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-02,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-03,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-04,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-05,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-06,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-07,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-08,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-09,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-10,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-11,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-12,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-13,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-14,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-15,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-16,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-17,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-18,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-19,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-20,9.99,299.7,ZEC,420Kh,1510,0.06
2026-08-21,12.33,369.9,ZEC,525Kh,2483,0.06
2026-08-22,12.33,369.9,ZEC,525Kh,2483,0.06
2026-08-23,12.33,369.9,ZEC,525Kh,2483,0.06
2026-08-24,12.33,369.9,ZEC,525Kh,2483,0.06
2026-08-25,12.33,369.9,ZEC,525Kh,2483,0.06
2026-08-26,12.33,369.9,ZEC,525Kh,2483,0.06
