date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,21.1,633.0,ZEC,420Kh,1510,0.06
2026-05-13,21.02,630.6,ZEC,420Kh,1510,0.06
2026-05-14,19.94,598.2,ZEC,420Kh,1510,0.06
2026-05-15,20.75,622.5,ZEC,420Kh,1510,0.06
2026-05-16,19.32,579.6,ZEC,420Kh,1510,0.06
2026-05-17,19.32,579.6,ZEC,420Kh,1510,0.06
2026-05-18,19.32,579.6,ZEC,420Kh,1510,0.06
2026-05-20,21.38,641.4,ZEC,420Kh,1510,0.06
2026-05-21,25.55,766.5,ZEC,420Kh,1510,0.06
2026-05-22,25.28,758.4,ZEC,420Kh,1510,0.06
2026-05-23,25.28,758.4,ZEC,420Kh,1510,0.06
2026-05-24,25.28,758.4,ZEC,420Kh,1510,0.06
