date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,42.66,1279.8,ZEC,840Kh,2780,0.06
2026-05-13,42.51,1275.3,ZEC,840Kh,2780,0.06
2026-05-14,40.35,1210.5,ZEC,840Kh,2780,0.06
2026-05-15,41.97,1259.1,ZEC,840Kh,2780,0.06
2026-05-16,39.09,1172.7,ZEC,840Kh,2780,0.06
2026-05-17,39.09,1172.7,ZEC,840Kh,2780,0.06
2026-05-18,39.09,1172.7,ZEC,840Kh,2780,0.06
2026-05-20,43.21,1296.3,ZEC,840Kh,2780,0.06
2026-05-21,51.55,1546.5,ZEC,840Kh,2780,0.06
2026-05-22,51.03,1530.9,ZEC,840Kh,2780,0.06
2026-05-23,51.03,1530.9,ZEC,840Kh,2780,0.06
2026-05-24,51.03,1530.9,ZEC,840Kh,2780,0.06
2026-05-25,48.66,1459.8,ZEC,840Kh,2780,0.06
2026-05-26,46.8,1404.0,ZEC,840Kh,2780,0.06
2026-05-27,41.36,1240.8,ZEC,840Kh,2780,0.06
2026-05-28,38.83,1164.9,ZEC,840Kh,2780,0.06
2026-05-29,38.63,1158.9,ZEC,840Kh,2780,0.06
2026-05-30,38.63,1158.9,ZEC,840Kh,2780,0.06
2026-05-31,38.63,1158.9,ZEC,840Kh,2780,0.06
2026-06-01,40.39,1211.7,ZEC,840Kh,2780,0.06
2026-06-02,40.39,1211.7,ZEC,840Kh,2780,0.06
2026-06-03,38.73,1161.9,ZEC,840Kh,2780,0.06
2026-06-04,43.65,1309.5,ZEC,840Kh,2780,0.06
2026-06-08,27.12,813.6,ZEC,840Kh,2780,0.06
2026-06-09,28.07,842.1,ZEC,840Kh,2780,0.06
2026-06-10,26.86,805.8,ZEC,840Kh,2780,0.06
2026-06-11,26.86,805.8,ZEC,840Kh,2780,0.06
2026-06-12,26.86,805.8,ZEC,840Kh,2780,0.06
2026-06-13,24.55,736.5,ZEC,840Kh,2780,0.06
2026-06-14,24.65,739.5,ZEC,840Kh,2780,0.06
2026-06-15,28.43,852.9,ZEC,840Kh,2780,0.06
2026-06-16,30.5,915.0,ZEC,840Kh,2780,0.06
2026-06-17,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-18,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-19,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-20,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-21,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-22,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-23,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-24,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-25,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-26,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-27,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-28,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-29,31.22,936.6,ZEC,840Kh,2780,0.06
2026-06-30,31.22,936.6,ZEC,840Kh,2780,0.06
2026-07-01,31.22,936.6,ZEC,840Kh,2780,0.06
2026-07-02,31.22,936.6,ZEC,840Kh,2780,0.06
2026-07-03,31.22,936.6,ZEC,840Kh,2780,0.06
2026-07-04,31.22,936.6,ZEC,840Kh,2780,0.06
2026-07-05,31.22,936.6,ZEC,840Kh,2780,0.06
