date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.16,94.8,ETC,12.5Gh,2300,0.06
2026-05-10,3.16,94.8,ETC,12.5Gh,2300,0.06
2026-05-11,3.16,94.8,ETC,12.5Gh,2300,0.06
2026-05-12,3.73,111.9,ETC,12.5Gh,2300,0.06
2026-05-13,3.58,107.4,ETC,12.5Gh,2300,0.06
2026-05-14,3.08,92.4,ETC,12.5Gh,2300,0.06
2026-05-15,3.43,102.9,ETC,12.5Gh,2300,0.06
2026-05-16,3.26,97.8,ETC,12.5Gh,2300,0.06
2026-05-17,3.26,97.8,ETC,12.5Gh,2300,0.06
2026-05-18,3.26,97.8,ETC,12.5Gh,2300,0.06
2026-05-19,2.9,87.0,ETC,12.5Gh,2300,0.06
2026-05-20,2.92,87.6,ETC,12.5Gh,2300,0.06
2026-05-21,3.26,97.8,ETC,12.5Gh,2300,0.06
2026-05-22,3.33,99.9,ETC,12.5Gh,2300,0.06
2026-05-23,3.33,99.9,ETC,12.5Gh,2300,0.06
2026-05-24,3.33,99.9,ETC,12.5Gh,2300,0.06
2026-05-25,2.79,83.7,ETC,12.5Gh,2300,0.06
2026-05-26,2.84,85.2,ETC,12.5Gh,2300,0.06
2026-05-27,2.27,68.1,ETC,12.5Gh,2300,0.06
2026-05-28,2.52,75.6,ETC,12.5Gh,2300,0.06
2026-05-29,2.16,64.8,ETC,12.5Gh,2300,0.06
2026-05-30,2.16,64.8,ETC,12.5Gh,2300,0.06
2026-05-31,2.16,64.8,ETC,12.5Gh,2300,0.06
2026-06-01,2.09,62.7,ETC,12.5Gh,2300,0.06
2026-06-02,2.09,62.7,ETC,12.5Gh,2300,0.06
2026-06-03,2.24,67.2,ETC,12.5Gh,2300,0.06
2026-06-04,2.08,62.4,ETC,12.5Gh,2300,0.06
2026-06-05,1.63,48.9,ETC,12.5Gh,2300,0.06
2026-06-06,1.63,48.9,ETC,12.5Gh,2300,0.06
2026-06-07,1.63,48.9,ETC,12.5Gh,2300,0.06
2026-06-08,1.22,36.6,ETC,12.5Gh,2300,0.06
2026-06-09,1.51,45.3,ETC,12.5Gh,2300,0.06
2026-06-10,1.69,50.7,ETC,12.5Gh,2300,0.06
2026-06-11,1.69,50.7,ETC,12.5Gh,2300,0.06
2026-06-12,1.69,50.7,ETC,12.5Gh,2300,0.06
2026-06-13,1.58,47.4,ETC,12.5Gh,2300,0.06
2026-06-14,1.36,40.8,ETC,12.5Gh,2300,0.06
2026-06-15,1.58,47.4,ETC,12.5Gh,2300,0.06
2026-06-16,1.66,49.8,ETC,12.5Gh,2300,0.06
2026-06-17,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-18,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-19,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-20,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-21,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-22,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-23,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-24,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-25,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-26,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-27,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-28,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-29,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-06-30,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-01,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-02,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-03,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-04,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-05,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-06,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-07,1.56,46.8,ETC,12.5Gh,2300,0.06
2026-07-08,1.56,46.8,ETC,12.5Gh,2300,0.06
