date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.3,39.0,BTC+FB+NMC,218Th,3662,0.06
2026-05-10,1.3,39.0,BTC+FB+NMC,218Th,3662,0.06
2026-05-11,1.3,39.0,BTC+FB+NMC,218Th,3662,0.06
2026-05-12,1.41,42.3,BTC+FB+NMC,218Th,3662,0.06
2026-05-13,1.4,42.0,BTC+FB+NMC,218Th,3662,0.06
2026-05-14,1.25,37.5,BTC+FB+NMC,218Th,3662,0.06
2026-05-15,1.42,42.6,BTC+FB+NMC,218Th,3662,0.06
2026-05-16,0.96,28.8,BTC+FB+NMC,218Th,3662,0.06
2026-05-17,0.96,28.8,BTC+FB+NMC,218Th,3662,0.06
2026-05-18,0.96,28.8,BTC+FB+NMC,218Th,3662,0.06
2026-05-19,0.74,22.2,BTC+FB+NMC,218Th,3662,0.06
2026-05-20,0.71,21.3,BTC+FB+NMC,218Th,3662,0.06
2026-05-21,0.78,23.4,BTC+FB+NMC,218Th,3662,0.06
2026-05-22,0.79,23.7,BTC+FB+NMC,218Th,3662,0.06
2026-05-23,0.79,23.7,BTC+FB+NMC,218Th,3662,0.06
2026-05-24,0.79,23.7,BTC+FB+NMC,218Th,3662,0.06
2026-05-25,0.73,21.9,BTC+FB+NMC,218Th,3662,0.06
2026-05-26,0.7,21.0,BTC+FB+NMC,218Th,3662,0.06
2026-05-27,0.61,18.3,BTC+FB+NMC,218Th,3662,0.06
2026-05-28,0.48,14.4,BTC+FB+NMC,218Th,3662,0.06
2026-05-29,0.37,11.1,BTC+FB+NMC,218Th,3662,0.06
2026-05-30,0.37,11.1,BTC+FB+NMC,218Th,3662,0.06
2026-05-31,0.37,11.1,BTC+FB+NMC,218Th,3662,0.06
2026-06-01,0.25,7.5,BTC+FB+NMC,218Th,3662,0.06
2026-06-02,0.25,7.5,BTC+FB+NMC,218Th,3662,0.06
2026-06-14,0.1,3.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-15,0.21,6.3,BTC+FB+NMC,218Th,3662,0.06
2026-06-16,0.24,7.2,BTC+FB+NMC,218Th,3662,0.06
2026-06-17,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-18,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-19,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-20,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-21,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-22,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-23,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-24,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-25,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-26,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-27,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-28,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-29,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-06-30,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-07-01,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-07-02,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-07-03,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-07-04,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
2026-07-05,0.3,9.0,BTC+FB+NMC,218Th,3662,0.06
