date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.85,85.5,BTC+FB+NMC,480Th,8064,0.06
2026-05-10,2.85,85.5,BTC+FB+NMC,480Th,8064,0.06
2026-05-11,2.85,85.5,BTC+FB+NMC,480Th,8064,0.06
2026-05-12,3.09,92.7,BTC+FB+NMC,480Th,8064,0.06
2026-05-13,3.08,92.4,BTC+FB+NMC,480Th,8064,0.06
2026-05-14,2.76,82.8,BTC+FB+NMC,480Th,8064,0.06
2026-05-15,3.13,93.9,BTC+FB+NMC,480Th,8064,0.06
2026-05-16,2.11,63.3,BTC+FB+NMC,480Th,8064,0.06
2026-05-17,2.11,63.3,BTC+FB+NMC,480Th,8064,0.06
2026-05-18,2.11,63.3,BTC+FB+NMC,480Th,8064,0.06
2026-05-19,1.63,48.9,BTC+FB+NMC,480Th,8064,0.06
2026-05-20,1.55,46.5,BTC+FB+NMC,480Th,8064,0.06
2026-05-21,1.71,51.3,BTC+FB+NMC,480Th,8064,0.06
2026-05-22,1.74,52.2,BTC+FB+NMC,480Th,8064,0.06
2026-05-23,1.74,52.2,BTC+FB+NMC,480Th,8064,0.06
2026-05-24,1.74,52.2,BTC+FB+NMC,480Th,8064,0.06
2026-05-25,1.61,48.3,BTC+FB+NMC,480Th,8064,0.06
