date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-08-27,0.36,10.8,BTC+FB+NMC,90Th,1674,0.06
2026-08-28,0.36,10.8,BTC+FB+NMC,90Th,1674,0.06
2026-08-29,0.36,10.8,BTC+FB+NMC,90Th,1674,0.06
2026-08-30,0.36,10.8,BTC+FB+NMC,90Th,1674,0.06
2026-08-31,0.36,10.8,BTC+FB+NMC,90Th,1674,0.06
2026-09-01,0.33,9.9,BTC+FB+NMC,90Th,1674,0.06
2026-09-02,0.27,8.1,BTC+FB+NMC,90Th,1674,0.06
2026-09-03,0.25,7.5,BTC+FB+NMC,90Th,1674,0.06
2026-09-04,0.25,7.5,BTC+FB+NMC,90Th,1674,0.06
2026-09-05,0.25,7.5,BTC+FB+NMC,90Th,1674,0.06
