date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.28,98.4,BTC+FB+NMC,282Th,3900,0.06
2026-05-10,3.28,98.4,BTC+FB+NMC,282Th,3900,0.06
2026-05-11,3.28,98.4,BTC+FB+NMC,282Th,3900,0.06
2026-05-12,3.43,102.9,BTC+FB+NMC,282Th,3900,0.06
2026-05-13,3.42,102.6,BTC+FB+NMC,282Th,3900,0.06
2026-05-14,3.23,96.9,BTC+FB+NMC,282Th,3900,0.06
2026-05-15,3.45,103.5,BTC+FB+NMC,282Th,3900,0.06
2026-05-16,2.85,85.5,BTC+FB+NMC,282Th,3900,0.06
2026-05-17,2.85,85.5,BTC+FB+NMC,282Th,3900,0.06
2026-05-18,2.85,85.5,BTC+FB+NMC,282Th,3900,0.06
2026-05-19,2.56,76.8,BTC+FB+NMC,282Th,3900,0.06
2026-05-20,2.52,75.6,BTC+FB+NMC,282Th,3900,0.06
2026-05-21,2.61,78.3,BTC+FB+NMC,282Th,3900,0.06
2026-05-22,2.63,78.9,BTC+FB+NMC,282Th,3900,0.06
2026-05-23,2.63,78.9,BTC+FB+NMC,282Th,3900,0.06
2026-05-24,2.63,78.9,BTC+FB+NMC,282Th,3900,0.06
2026-05-25,2.55,76.5,BTC+FB+NMC,282Th,3900,0.06
2026-05-26,2.51,75.3,BTC+FB+NMC,282Th,3900,0.06
2026-05-27,2.4,72.0,BTC+FB+NMC,282Th,3900,0.06
2026-05-28,2.23,66.9,BTC+FB+NMC,282Th,3900,0.06
2026-05-29,2.08,62.4,BTC+FB+NMC,282Th,3900,0.06
2026-05-30,2.08,62.4,BTC+FB+NMC,282Th,3900,0.06
2026-05-31,2.08,62.4,BTC+FB+NMC,282Th,3900,0.06
2026-06-01,1.93,57.9,BTC+FB+NMC,282Th,3900,0.06
2026-06-02,1.93,57.9,BTC+FB+NMC,282Th,3900,0.06
2026-06-03,1.52,45.6,BTC+FB+NMC,282Th,3900,0.06
2026-06-04,1.19,35.7,BTC+FB+NMC,282Th,3900,0.06
