date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,4.07,122.1,BTC+FB+NMC,300Th,3850,0.06
2026-05-10,4.07,122.1,BTC+FB+NMC,300Th,3850,0.06
2026-05-11,4.07,122.1,BTC+FB+NMC,300Th,3850,0.06
2026-05-12,4.22,126.6,BTC+FB+NMC,300Th,3850,0.06
2026-05-13,4.21,126.3,BTC+FB+NMC,300Th,3850,0.06
2026-05-14,4.01,120.3,BTC+FB+NMC,300Th,3850,0.06
2026-05-15,4.24,127.2,BTC+FB+NMC,300Th,3850,0.06
2026-05-16,3.6,108.0,BTC+FB+NMC,300Th,3850,0.06
2026-05-17,3.6,108.0,BTC+FB+NMC,300Th,3850,0.06
2026-05-18,3.6,108.0,BTC+FB+NMC,300Th,3850,0.06
2026-05-19,3.3,99.0,BTC+FB+NMC,300Th,3850,0.06
2026-05-20,3.26,97.8,BTC+FB+NMC,300Th,3850,0.06
2026-05-21,3.35,100.5,BTC+FB+NMC,300Th,3850,0.06
2026-05-22,3.37,101.1,BTC+FB+NMC,300Th,3850,0.06
2026-05-23,3.37,101.1,BTC+FB+NMC,300Th,3850,0.06
