date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,3.21,96.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-10,3.21,96.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-11,3.21,96.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-12,2.35,70.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-13,2.36,70.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-14,2.46,73.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-15,2.67,80.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-16,2.4,72.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-17,2.4,72.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-18,2.4,72.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-19,2.35,70.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-20,2.27,68.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-21,1.87,56.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-22,1.93,57.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-23,1.93,57.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-24,1.93,57.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-25,1.72,51.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-26,1.58,47.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-27,1.65,49.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-28,1.27,38.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-29,1.37,41.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
2026-05-30,1.37,41.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,16Gh,3520,0.06
