date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,5.29,158.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-10,5.29,158.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-11,5.29,158.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-12,4.19,125.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-13,4.2,126.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-14,4.33,129.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-15,4.59,137.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-16,4.24,127.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-17,4.24,127.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-18,4.24,127.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-19,4.18,125.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-20,4.08,122.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-21,3.57,107.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-22,3.65,109.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-23,3.65,109.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-24,3.65,109.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-25,3.38,101.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
2026-05-26,3.19,95.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,20.5Gh,3900,0.06
