date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.48,14.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-10,0.48,14.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-11,0.48,14.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-12,0.35,10.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-13,0.35,10.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-14,0.37,11.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-15,0.4,12.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-16,0.36,10.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-17,0.36,10.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-18,0.36,10.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-19,0.35,10.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-20,0.34,10.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-21,0.28,8.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-22,0.29,8.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
2026-05-23,0.29,8.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,2.4Gh,530,0.06
