date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.0,30.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-10,1.0,30.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-11,1.0,30.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-12,0.71,21.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-13,0.72,21.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-14,0.75,22.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-15,0.82,24.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-16,0.73,21.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-17,0.73,21.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-18,0.73,21.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-19,0.71,21.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-20,0.69,20.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-21,0.56,16.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-22,0.58,17.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-23,0.58,17.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-24,0.58,17.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-25,0.5,15.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-26,0.46,13.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-27,0.48,14.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-28,0.35,10.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-29,0.39,11.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-30,0.39,11.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-05-31,0.39,11.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-06-01,0.49,14.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-06-02,0.49,14.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-06-03,0.5,15.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-06-04,0.38,11.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-06-05,0.28,8.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
2026-06-06,0.28,8.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,5.3Gh,1200,0.06
