date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.05,31.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-10,1.05,31.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-11,1.05,31.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-12,0.73,21.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-13,0.73,21.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-14,0.77,23.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-15,0.85,25.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-16,0.75,22.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-17,0.75,22.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-18,0.75,22.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-19,0.73,21.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-20,0.7,21.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-21,0.55,16.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-22,0.57,17.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-23,0.57,17.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-24,0.57,17.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-25,0.49,14.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-26,0.44,13.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
2026-05-27,0.46,13.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,6Gh,1400,0.06
