date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.13,33.9,BTC+FB+NMC,115Th,1700,0.06
2026-05-10,1.13,33.9,BTC+FB+NMC,115Th,1700,0.06
2026-05-11,1.13,33.9,BTC+FB+NMC,115Th,1700,0.06
2026-05-12,1.19,35.7,BTC+FB+NMC,115Th,1700,0.06
2026-05-13,1.18,35.4,BTC+FB+NMC,115Th,1700,0.06
2026-05-14,1.11,33.3,BTC+FB+NMC,115Th,1700,0.06
2026-05-15,1.2,36.0,BTC+FB+NMC,115Th,1700,0.06
2026-05-16,0.95,28.5,BTC+FB+NMC,115Th,1700,0.06
2026-05-17,0.95,28.5,BTC+FB+NMC,115Th,1700,0.06
2026-05-18,0.95,28.5,BTC+FB+NMC,115Th,1700,0.06
2026-05-19,0.84,25.2,BTC+FB+NMC,115Th,1700,0.06
2026-05-20,0.82,24.6,BTC+FB+NMC,115Th,1700,0.06
2026-05-21,0.85,25.5,BTC+FB+NMC,115Th,1700,0.06
2026-05-22,0.86,25.8,BTC+FB+NMC,115Th,1700,0.06
2026-05-23,0.86,25.8,BTC+FB+NMC,115Th,1700,0.06
2026-05-24,0.86,25.8,BTC+FB+NMC,115Th,1700,0.06
2026-05-25,0.83,24.9,BTC+FB+NMC,115Th,1700,0.06
2026-05-26,0.81,24.3,BTC+FB+NMC,115Th,1700,0.06
2026-05-27,0.77,23.1,BTC+FB+NMC,115Th,1700,0.06
2026-05-28,0.7,21.0,BTC+FB+NMC,115Th,1700,0.06
2026-05-29,0.64,19.2,BTC+FB+NMC,115Th,1700,0.06
2026-05-30,0.64,19.2,BTC+FB+NMC,115Th,1700,0.06
2026-05-31,0.64,19.2,BTC+FB+NMC,115Th,1700,0.06
2026-06-01,0.58,17.4,BTC+FB+NMC,115Th,1700,0.06
2026-06-02,0.58,17.4,BTC+FB+NMC,115Th,1700,0.06
2026-06-03,0.41,12.3,BTC+FB+NMC,115Th,1700,0.06
2026-06-04,0.27,8.1,BTC+FB+NMC,115Th,1700,0.06
2026-06-05,0.09,2.7,BTC+FB+NMC,115Th,1700,0.06
2026-06-06,0.09,2.7,BTC+FB+NMC,115Th,1700,0.06
2026-06-07,0.09,2.7,BTC+FB+NMC,115Th,1700,0.06
2026-06-08,0.04,1.2,BTC+FB+NMC,115Th,1700,0.06
2026-06-09,0.02,0.6,BTC+FB+NMC,115Th,1700,0.06
2026-06-13,0.06,1.8,BTC+FB+NMC,115Th,1700,0.06
2026-06-14,0.5,15.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-15,0.55,16.5,BTC+FB+NMC,115Th,1700,0.06
2026-06-16,0.57,17.1,BTC+FB+NMC,115Th,1700,0.06
2026-06-17,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-18,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-19,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-20,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-21,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-22,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
2026-06-23,0.6,18.0,BTC+FB+NMC,115Th,1700,0.06
