date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.66,79.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-10,2.66,79.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-11,2.66,79.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-12,2.15,64.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-13,2.15,64.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-14,2.21,66.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-15,2.33,69.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-16,2.17,65.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-17,2.17,65.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-18,2.17,65.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-19,2.14,64.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-20,2.1,63.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-21,1.86,55.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-22,1.9,57.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-23,1.9,57.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
2026-05-24,1.9,57.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,9.5Gh,1700,0.06
