date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-09-09,0.2,6.0,SC,1.9Th,400,0.06
2026-09-10,0.71,21.3,SC,1.9Th,400,0.06
2026-09-11,0.71,21.3,SC,1.9Th,400,0.06
2026-09-12,1.64,49.2,SC,1.9Th,400,0.06
2026-09-13,1.64,49.2,SC,1.9Th,400,0.06
2026-09-14,2.38,71.4,SC,1.9Th,400,0.06
2026-09-15,2.38,71.4,SC,1.9Th,400,0.06
2026-09-16,2.19,65.7,SC,1.9Th,400,0.06
2026-09-17,2.86,85.8,SC,1.9Th,400,0.06
2026-09-18,3.08,92.4,SC,1.9Th,400,0.06
2026-09-19,3.08,92.4,SC,1.9Th,400,0.06
2026-09-20,3.08,92.4,SC,1.9Th,400,0.06
