date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-09-09,0.07,2.1,SC,900Gh,200,0.06
2026-09-10,0.32,9.6,SC,900Gh,200,0.06
2026-09-11,0.32,9.6,SC,900Gh,200,0.06
2026-09-12,0.76,22.8,SC,900Gh,200,0.06
2026-09-13,0.76,22.8,SC,900Gh,200,0.06
2026-09-14,1.1,33.0,SC,900Gh,200,0.06
2026-09-15,1.1,33.0,SC,900Gh,200,0.06
2026-09-16,1.02,30.6,SC,900Gh,200,0.06
2026-09-17,1.34,40.2,SC,900Gh,200,0.06
2026-09-18,1.44,43.2,SC,900Gh,200,0.06
2026-09-19,1.44,43.2,SC,900Gh,200,0.06
2026-09-20,1.44,43.2,SC,900Gh,200,0.06
2026-09-21,2.62,78.6,BTCB2,900Gh,200,0.06
2026-09-22,3.0,90.0,BTCB2,900Gh,200,0.06
2026-09-23,4.56,136.8,BTCB2,900Gh,200,0.06
