date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-09-09,0.41,12.3,SC,4.4Th,950,0.06
2026-09-10,1.61,48.3,SC,4.4Th,950,0.06
2026-09-11,1.61,48.3,SC,4.4Th,950,0.06
2026-09-12,3.76,112.8,SC,4.4Th,950,0.06
2026-09-13,3.76,112.8,SC,4.4Th,950,0.06
2026-09-14,5.46,163.8,SC,4.4Th,950,0.06
2026-09-15,5.46,163.8,SC,4.4Th,950,0.06
2026-09-16,5.03,150.9,SC,4.4Th,950,0.06
2026-09-17,6.59,197.7,SC,4.4Th,950,0.06
2026-09-18,7.08,212.4,SC,4.4Th,950,0.06
2026-09-19,7.08,212.4,SC,4.4Th,950,0.06
2026-09-20,7.08,212.4,SC,4.4Th,950,0.06
2026-09-21,12.84,385.2,BTCB2,4.4Th,950,0.06
2026-09-22,14.74,442.2,BTCB2,4.4Th,950,0.06
2026-09-23,22.36,670.8,BTCB2,4.4Th,950,0.06
2026-09-24,22.33,669.9,BTCB2,4.4Th,950,0.06
2026-09-25,22.33,669.9,BTCB2,4.4Th,950,0.06
