date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-09-09,0.78,23.4,SC,14Th,3300,0.06
2026-09-10,4.58,137.4,SC,14Th,3300,0.06
2026-09-11,4.58,137.4,SC,14Th,3300,0.06
2026-09-12,11.43,342.9,SC,14Th,3300,0.06
2026-09-13,11.43,342.9,SC,14Th,3300,0.06
2026-09-14,16.83,504.9,SC,14Th,3300,0.06
2026-09-15,16.83,504.9,SC,14Th,3300,0.06
2026-09-16,15.49,464.7,SC,14Th,3300,0.06
2026-09-17,20.43,612.9,SC,14Th,3300,0.06
2026-09-18,22.01,660.3,SC,14Th,3300,0.06
2026-09-19,22.01,660.3,SC,14Th,3300,0.06
2026-09-20,22.01,660.3,SC,14Th,3300,0.06
2026-09-21,40.32,1209.6,BTCB2,14Th,3300,0.06
2026-09-22,46.37,1391.1,BTCB2,14Th,3300,0.06
2026-09-23,70.62,2118.6,BTCB2,14Th,3300,0.06
2026-09-24,70.51,2115.3,BTCB2,14Th,3300,0.06
2026-09-25,70.51,2115.3,BTCB2,14Th,3300,0.06
2026-09-26,70.51,2115.3,BTCB2,14Th,3300,0.06
