date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-07-10,0.06,1.8,SC,17Th,3300,0.06
2026-07-11,0.06,1.8,SC,17Th,3300,0.06
2026-07-12,0.06,1.8,SC,17Th,3300,0.06
2026-07-13,0.06,1.8,SC,17Th,3300,0.06
2026-07-14,0.06,1.8,SC,17Th,3300,0.06
2026-07-15,0.06,1.8,SC,17Th,3300,0.06
2026-09-09,2.31,69.3,SC,17Th,3300,0.06
2026-09-10,6.92,207.6,SC,17Th,3300,0.06
2026-09-11,6.92,207.6,SC,17Th,3300,0.06
2026-09-12,15.23,456.9,SC,17Th,3300,0.06
2026-09-13,15.23,456.9,SC,17Th,3300,0.06
