date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.62,18.6,XTM,580Gh,400,0.06
2026-05-10,0.62,18.6,XTM,580Gh,400,0.06
2026-05-11,0.62,18.6,XTM,580Gh,400,0.06
2026-05-12,0.58,17.4,XTM,580Gh,400,0.06
2026-05-13,0.37,11.1,XTM,580Gh,400,0.06
2026-05-14,0.73,21.9,XTM,580Gh,400,0.06
2026-05-15,0.72,21.6,XTM,580Gh,400,0.06
2026-05-16,0.6,18.0,XTM,580Gh,400,0.06
2026-05-17,0.6,18.0,XTM,580Gh,400,0.06
2026-05-18,0.6,18.0,XTM,580Gh,400,0.06
2026-05-19,0.69,20.7,XTM,580Gh,400,0.06
2026-05-20,0.47,14.1,XTM,580Gh,400,0.06
2026-05-21,0.62,18.6,XTM,580Gh,400,0.06
2026-05-22,1.0,30.0,XTM,580Gh,400,0.06
2026-05-23,1.0,30.0,XTM,580Gh,400,0.06
2026-05-24,1.0,30.0,XTM,580Gh,400,0.06
2026-05-25,0.56,16.8,XTM,580Gh,400,0.06
2026-05-26,0.67,20.1,XTM,580Gh,400,0.06
2026-05-27,0.55,16.5,XTM,580Gh,400,0.06
2026-05-28,0.77,23.1,XTM,580Gh,400,0.06
2026-05-29,0.66,19.8,XTM,580Gh,400,0.06
2026-05-30,0.66,19.8,XTM,580Gh,400,0.06
2026-05-31,0.66,19.8,XTM,580Gh,400,0.06
2026-06-01,0.63,18.9,XTM,580Gh,400,0.06
2026-06-02,0.63,18.9,XTM,580Gh,400,0.06
2026-06-03,0.75,22.5,XTM,580Gh,400,0.06
2026-06-04,0.49,14.7,XTM,580Gh,400,0.06
2026-06-05,0.65,19.5,XTM,580Gh,400,0.06
2026-06-06,0.65,19.5,XTM,580Gh,400,0.06
2026-06-07,0.65,19.5,XTM,580Gh,400,0.06
2026-06-08,0.46,13.8,XTM,580Gh,400,0.06
2026-06-09,0.47,14.1,XTM,580Gh,400,0.06
2026-06-10,0.47,14.1,XTM,580Gh,400,0.06
2026-06-11,0.47,14.1,XTM,580Gh,400,0.06
2026-06-12,0.47,14.1,XTM,580Gh,400,0.06
2026-06-13,0.24,7.2,XTM,580Gh,400,0.06
2026-06-14,0.39,11.7,XTM,580Gh,400,0.06
2026-06-15,0.22,6.6,XTM,580Gh,400,0.06
2026-06-16,0.28,8.4,XTM,580Gh,400,0.06
2026-06-17,0.32,9.6,XTM,580Gh,400,0.06
2026-06-18,0.32,9.6,XTM,580Gh,400,0.06
2026-06-19,0.32,9.6,XTM,580Gh,400,0.06
2026-06-20,0.32,9.6,XTM,580Gh,400,0.06
2026-06-21,0.32,9.6,XTM,580Gh,400,0.06
2026-06-22,0.32,9.6,XTM,580Gh,400,0.06
2026-06-23,0.32,9.6,XTM,580Gh,400,0.06
2026-06-24,0.32,9.6,XTM,580Gh,400,0.06
2026-06-25,0.32,9.6,XTM,580Gh,400,0.06
2026-06-26,0.32,9.6,XTM,580Gh,400,0.06
2026-06-27,0.32,9.6,XTM,580Gh,400,0.06
2026-06-28,0.32,9.6,XTM,580Gh,400,0.06
2026-06-29,0.32,9.6,XTM,580Gh,400,0.06
2026-06-30,0.32,9.6,XTM,580Gh,400,0.06
2026-07-01,0.32,9.6,XTM,580Gh,400,0.06
2026-07-02,0.32,9.6,XTM,580Gh,400,0.06
2026-07-03,0.32,9.6,XTM,580Gh,400,0.06
2026-07-04,0.32,9.6,XTM,580Gh,400,0.06
