date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-16,0.25,7.5,SC,25Th,3400,0.06
2026-05-17,0.25,7.5,SC,25Th,3400,0.06
2026-05-18,0.25,7.5,SC,25Th,3400,0.06
2026-05-20,0.02,0.6,SC,25Th,3400,0.06
2026-05-21,0.84,25.2,SC,25Th,3400,0.06
2026-05-22,1.41,42.3,SC,25Th,3400,0.06
2026-05-23,1.41,42.3,SC,25Th,3400,0.06
2026-05-24,1.41,42.3,SC,25Th,3400,0.06
2026-07-10,2.88,86.4,SC,25Th,3400,0.06
2026-07-11,2.88,86.4,SC,25Th,3400,0.06
2026-07-12,2.88,86.4,SC,25Th,3400,0.06
2026-07-13,2.88,86.4,SC,25Th,3400,0.06
2026-07-14,2.88,86.4,SC,25Th,3400,0.06
2026-07-15,2.88,86.4,SC,25Th,3400,0.06
2026-07-16,0.68,20.4,SC,25Th,3400,0.06
