date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,0.3,9.0,ALEO,300Mh,500,0.06
2026-05-13,0.35,10.5,ALEO,300Mh,500,0.06
2026-05-14,0.11,3.3,ALEO,300Mh,500,0.06
2026-05-15,0.27,8.1,ALEO,300Mh,500,0.06
2026-05-16,0.05,1.5,ALEO,300Mh,500,0.06
2026-05-17,0.05,1.5,ALEO,300Mh,500,0.06
2026-05-18,0.05,1.5,ALEO,300Mh,500,0.06
2026-05-19,0.07,2.1,ALEO,300Mh,500,0.06
2026-05-20,0.25,7.5,ALEO,300Mh,500,0.06
2026-05-21,0.26,7.8,ALEO,300Mh,500,0.06
2026-05-22,0.21,6.3,ALEO,300Mh,500,0.06
2026-05-23,0.21,6.3,ALEO,300Mh,500,0.06
2026-05-24,0.21,6.3,ALEO,300Mh,500,0.06
2026-05-25,0.91,27.3,ALEO,300Mh,500,0.06
