date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,0.52,15.6,ALEO,720Mh,1300,0.06
2026-05-13,0.65,19.5,ALEO,720Mh,1300,0.06
2026-05-14,0.08,2.4,ALEO,720Mh,1300,0.06
2026-05-15,0.45,13.5,ALEO,720Mh,1300,0.06
2026-05-20,0.4,12.0,ALEO,720Mh,1300,0.06
2026-05-21,0.43,12.9,ALEO,720Mh,1300,0.06
2026-05-22,0.32,9.6,ALEO,720Mh,1300,0.06
2026-05-23,0.32,9.6,ALEO,720Mh,1300,0.06
2026-05-24,0.32,9.6,ALEO,720Mh,1300,0.06
2026-05-25,1.98,59.4,ALEO,720Mh,1300,0.06
2026-05-26,0.35,10.5,ALEO,720Mh,1300,0.06
2026-05-27,1.7,51.0,ALEO,720Mh,1300,0.06
2026-05-28,82.86,2485.8,ALEO,720Mh,1300,0.06
