date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.12,3.6,MWC,4.2H,120,0.06
2026-05-10,0.12,3.6,MWC,4.2H,120,0.06
2026-05-11,0.12,3.6,MWC,4.2H,120,0.06
2026-05-12,0.16,4.8,MWC,4.2H,120,0.06
2026-05-13,0.11,3.3,MWC,4.2H,120,0.06
2026-05-14,0.12,3.6,MWC,4.2H,120,0.06
2026-05-15,0.16,4.8,MWC,4.2H,120,0.06
2026-05-16,0.04,1.2,MWC,4.2H,120,0.06
2026-05-17,0.04,1.2,MWC,4.2H,120,0.06
2026-05-18,0.04,1.2,MWC,4.2H,120,0.06
2026-05-19,0.05,1.5,MWC,4.2H,120,0.06
2026-05-20,0.16,4.8,MWC,4.2H,120,0.06
2026-05-21,0.12,3.6,MWC,4.2H,120,0.06
2026-05-22,0.12,3.6,MWC,4.2H,120,0.06
2026-05-23,0.12,3.6,MWC,4.2H,120,0.06
