date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.41,12.3,ETC,1.2Gh,165,0.06
2026-05-10,0.41,12.3,ETC,1.2Gh,165,0.06
2026-05-11,0.41,12.3,ETC,1.2Gh,165,0.06
2026-05-12,0.47,14.1,ETC,1.2Gh,165,0.06
2026-05-13,0.45,13.5,ETC,1.2Gh,165,0.06
2026-05-14,0.4,12.0,ETC,1.2Gh,165,0.06
2026-05-15,0.44,13.2,ETC,1.2Gh,165,0.06
2026-05-16,0.42,12.6,ETC,1.2Gh,165,0.06
2026-05-17,0.42,12.6,ETC,1.2Gh,165,0.06
2026-05-18,0.42,12.6,ETC,1.2Gh,165,0.06
2026-05-19,0.39,11.7,ETC,1.2Gh,165,0.06
2026-05-20,0.39,11.7,ETC,1.2Gh,165,0.06
2026-05-21,0.42,12.6,ETC,1.2Gh,165,0.06
2026-05-22,0.43,12.9,ETC,1.2Gh,165,0.06
2026-05-23,0.43,12.9,ETC,1.2Gh,165,0.06
2026-05-24,0.43,12.9,ETC,1.2Gh,165,0.06
2026-05-25,0.37,11.1,ETC,1.2Gh,165,0.06
2026-05-26,0.38,11.4,ETC,1.2Gh,165,0.06
2026-05-27,0.33,9.9,ETC,1.2Gh,165,0.06
2026-05-28,0.35,10.5,ETC,1.2Gh,165,0.06
2026-05-29,0.31,9.3,ETC,1.2Gh,165,0.06
2026-05-30,0.31,9.3,ETC,1.2Gh,165,0.06
2026-05-31,0.31,9.3,ETC,1.2Gh,165,0.06
2026-06-01,0.31,9.3,ETC,1.2Gh,165,0.06
2026-06-02,0.31,9.3,ETC,1.2Gh,165,0.06
2026-06-03,0.32,9.6,ETC,1.2Gh,165,0.06
2026-06-04,0.31,9.3,ETC,1.2Gh,165,0.06
2026-06-05,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-06,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-07,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-08,0.22,6.6,ETC,1.2Gh,165,0.06
2026-06-09,0.25,7.5,ETC,1.2Gh,165,0.06
2026-06-10,0.27,8.1,ETC,1.2Gh,165,0.06
2026-06-11,0.27,8.1,ETC,1.2Gh,165,0.06
2026-06-12,0.27,8.1,ETC,1.2Gh,165,0.06
2026-06-13,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-14,0.24,7.2,ETC,1.2Gh,165,0.06
2026-06-15,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-16,0.27,8.1,ETC,1.2Gh,165,0.06
2026-06-17,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-18,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-19,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-20,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-21,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-22,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-23,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-24,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-25,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-26,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-27,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-28,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-29,0.26,7.8,ETC,1.2Gh,165,0.06
2026-06-30,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-01,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-02,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-03,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-04,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-05,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-06,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-07,0.26,7.8,ETC,1.2Gh,165,0.06
2026-07-08,0.26,7.8,ETC,1.2Gh,165,0.06
