date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.22,6.6,ETC,2.05Gh,530,0.06
2026-05-10,0.22,6.6,ETC,2.05Gh,530,0.06
2026-05-11,0.22,6.6,ETC,2.05Gh,530,0.06
2026-05-12,0.32,9.6,ETC,2.05Gh,530,0.06
2026-05-13,0.29,8.7,ETC,2.05Gh,530,0.06
2026-05-14,0.21,6.3,ETC,2.05Gh,530,0.06
2026-05-15,0.27,8.1,ETC,2.05Gh,530,0.06
2026-05-16,0.24,7.2,ETC,2.05Gh,530,0.06
2026-05-17,0.24,7.2,ETC,2.05Gh,530,0.06
2026-05-18,0.24,7.2,ETC,2.05Gh,530,0.06
2026-05-19,0.18,5.4,ETC,2.05Gh,530,0.06
2026-05-20,0.19,5.7,ETC,2.05Gh,530,0.06
2026-05-21,0.24,7.2,ETC,2.05Gh,530,0.06
2026-05-22,0.25,7.5,ETC,2.05Gh,530,0.06
2026-05-23,0.25,7.5,ETC,2.05Gh,530,0.06
2026-05-24,0.25,7.5,ETC,2.05Gh,530,0.06
2026-05-25,0.16,4.8,ETC,2.05Gh,530,0.06
2026-05-26,0.17,5.1,ETC,2.05Gh,530,0.06
2026-05-27,0.08,2.4,ETC,2.05Gh,530,0.06
2026-05-28,0.12,3.6,ETC,2.05Gh,530,0.06
2026-05-29,0.06,1.8,ETC,2.05Gh,530,0.06
2026-05-30,0.06,1.8,ETC,2.05Gh,530,0.06
2026-05-31,0.06,1.8,ETC,2.05Gh,530,0.06
2026-06-01,0.05,1.5,ETC,2.05Gh,530,0.06
2026-06-02,0.05,1.5,ETC,2.05Gh,530,0.06
2026-06-03,0.07,2.1,ETC,2.05Gh,530,0.06
