date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.72,51.6,BTC+FB+NMC,226Th,3600,0.06
2026-05-10,1.72,51.6,BTC+FB+NMC,226Th,3600,0.06
2026-05-11,1.72,51.6,BTC+FB+NMC,226Th,3600,0.06
2026-05-12,1.83,54.9,BTC+FB+NMC,226Th,3600,0.06
2026-05-13,1.83,54.9,BTC+FB+NMC,226Th,3600,0.06
2026-05-14,1.68,50.4,BTC+FB+NMC,226Th,3600,0.06
2026-05-15,1.85,55.5,BTC+FB+NMC,226Th,3600,0.06
2026-05-16,1.37,41.1,BTC+FB+NMC,226Th,3600,0.06
2026-05-17,1.37,41.1,BTC+FB+NMC,226Th,3600,0.06
2026-05-18,1.37,41.1,BTC+FB+NMC,226Th,3600,0.06
2026-05-19,1.14,34.2,BTC+FB+NMC,226Th,3600,0.06
2026-05-20,1.11,33.3,BTC+FB+NMC,226Th,3600,0.06
2026-05-21,1.18,35.4,BTC+FB+NMC,226Th,3600,0.06
2026-05-22,1.2,36.0,BTC+FB+NMC,226Th,3600,0.06
2026-05-23,1.2,36.0,BTC+FB+NMC,226Th,3600,0.06
2026-05-24,1.2,36.0,BTC+FB+NMC,226Th,3600,0.06
2026-05-25,1.14,34.2,BTC+FB+NMC,226Th,3600,0.06
2026-05-26,1.1,33.0,BTC+FB+NMC,226Th,3600,0.06
2026-05-27,1.01,30.3,BTC+FB+NMC,226Th,3600,0.06
2026-05-28,0.88,26.4,BTC+FB+NMC,226Th,3600,0.06
2026-05-29,0.76,22.8,BTC+FB+NMC,226Th,3600,0.06
2026-05-30,0.76,22.8,BTC+FB+NMC,226Th,3600,0.06
2026-05-31,0.76,22.8,BTC+FB+NMC,226Th,3600,0.06
2026-06-01,0.64,19.2,BTC+FB+NMC,226Th,3600,0.06
