date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.94,88.2,BTC+FB+NMC,348Th,5394,0.06
2026-05-10,2.94,88.2,BTC+FB+NMC,348Th,5394,0.06
2026-05-11,2.94,88.2,BTC+FB+NMC,348Th,5394,0.06
2026-05-12,3.11,93.3,BTC+FB+NMC,348Th,5394,0.06
2026-05-13,3.1,93.0,BTC+FB+NMC,348Th,5394,0.06
2026-05-14,2.87,86.1,BTC+FB+NMC,348Th,5394,0.06
2026-05-15,3.14,94.2,BTC+FB+NMC,348Th,5394,0.06
2026-05-16,2.4,72.0,BTC+FB+NMC,348Th,5394,0.06
2026-05-17,2.4,72.0,BTC+FB+NMC,348Th,5394,0.06
2026-05-18,2.4,72.0,BTC+FB+NMC,348Th,5394,0.06
