date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,7.3,219.0,BTC+FB+NMC,920Th,14500,0.06
2026-05-10,7.3,219.0,BTC+FB+NMC,920Th,14500,0.06
2026-05-11,7.3,219.0,BTC+FB+NMC,920Th,14500,0.06
2026-05-12,7.77,233.1,BTC+FB+NMC,920Th,14500,0.06
2026-05-13,7.74,232.2,BTC+FB+NMC,920Th,14500,0.06
2026-05-14,7.12,213.6,BTC+FB+NMC,920Th,14500,0.06
2026-05-15,7.84,235.2,BTC+FB+NMC,920Th,14500,0.06
2026-05-16,5.87,176.1,BTC+FB+NMC,920Th,14500,0.06
2026-05-17,5.87,176.1,BTC+FB+NMC,920Th,14500,0.06
2026-05-18,5.87,176.1,BTC+FB+NMC,920Th,14500,0.06
2026-05-19,4.95,148.5,BTC+FB+NMC,920Th,14500,0.06
2026-05-20,4.82,144.6,BTC+FB+NMC,920Th,14500,0.06
2026-05-21,5.11,153.3,BTC+FB+NMC,920Th,14500,0.06
2026-05-22,5.17,155.1,BTC+FB+NMC,920Th,14500,0.06
2026-05-23,5.17,155.1,BTC+FB+NMC,920Th,14500,0.06
