date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,13.17,395.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-10,13.17,395.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-11,13.17,395.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-12,13.85,415.5,BTC+FB+NMC,1350Th,20000,0.06
2026-05-13,13.81,414.3,BTC+FB+NMC,1350Th,20000,0.06
2026-05-14,12.9,387.0,BTC+FB+NMC,1350Th,20000,0.06
2026-05-15,13.95,418.5,BTC+FB+NMC,1350Th,20000,0.06
2026-05-16,11.07,332.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-17,11.07,332.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-18,11.07,332.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-19,9.72,291.6,BTC+FB+NMC,1350Th,20000,0.06
2026-05-20,9.52,285.6,BTC+FB+NMC,1350Th,20000,0.06
2026-05-21,9.95,298.5,BTC+FB+NMC,1350Th,20000,0.06
2026-05-22,10.04,301.2,BTC+FB+NMC,1350Th,20000,0.06
2026-05-23,10.04,301.2,BTC+FB+NMC,1350Th,20000,0.06
2026-05-24,10.04,301.2,BTC+FB+NMC,1350Th,20000,0.06
2026-05-25,9.68,290.4,BTC+FB+NMC,1350Th,20000,0.06
2026-05-26,9.47,284.1,BTC+FB+NMC,1350Th,20000,0.06
2026-05-27,8.91,267.3,BTC+FB+NMC,1350Th,20000,0.06
2026-05-28,8.14,244.2,BTC+FB+NMC,1350Th,20000,0.06
2026-05-29,7.42,222.6,BTC+FB+NMC,1350Th,20000,0.06
2026-05-30,7.42,222.6,BTC+FB+NMC,1350Th,20000,0.06
2026-05-31,7.42,222.6,BTC+FB+NMC,1350Th,20000,0.06
2026-06-01,6.71,201.3,BTC+FB+NMC,1350Th,20000,0.06
2026-06-02,6.71,201.3,BTC+FB+NMC,1350Th,20000,0.06
