date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.06,1.8,BTC+FB+NMC,9.6Th,160,0.06
2026-05-10,0.06,1.8,BTC+FB+NMC,9.6Th,160,0.06
2026-05-11,0.06,1.8,BTC+FB+NMC,9.6Th,160,0.06
2026-05-12,0.06,1.8,BTC+FB+NMC,9.6Th,160,0.06
2026-05-13,0.06,1.8,BTC+FB+NMC,9.6Th,160,0.06
2026-05-14,0.06,1.8,BTC+FB+NMC,9.6Th,160,0.06
2026-05-15,0.07,2.1,BTC+FB+NMC,9.6Th,160,0.06
2026-05-16,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-17,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-18,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-19,0.03,0.9,BTC+FB+NMC,9.6Th,160,0.06
2026-05-20,0.03,0.9,BTC+FB+NMC,9.6Th,160,0.06
2026-05-21,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-22,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-23,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-24,0.04,1.2,BTC+FB+NMC,9.6Th,160,0.06
2026-05-25,0.03,0.9,BTC+FB+NMC,9.6Th,160,0.06
2026-05-26,0.03,0.9,BTC+FB+NMC,9.6Th,160,0.06
2026-05-27,0.03,0.9,BTC+FB+NMC,9.6Th,160,0.06
2026-05-28,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-05-29,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-05-30,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-05-31,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-01,0.01,0.3,BTC+FB+NMC,9.6Th,160,0.06
2026-06-02,0.01,0.3,BTC+FB+NMC,9.6Th,160,0.06
2026-06-14,0.01,0.3,BTC+FB+NMC,9.6Th,160,0.06
2026-06-15,0.01,0.3,BTC+FB+NMC,9.6Th,160,0.06
2026-06-16,0.01,0.3,BTC+FB+NMC,9.6Th,160,0.06
2026-06-17,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-18,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-19,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-20,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-21,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-22,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-23,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-24,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-25,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-26,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-27,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-28,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-29,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
2026-06-30,0.02,0.6,BTC+FB+NMC,9.6Th,160,0.06
