date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-06-14,0.03,0.9,BTC+FB+NMC,12Th,190,0.06
2026-06-15,0.03,0.9,BTC+FB+NMC,12Th,190,0.06
2026-06-16,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-17,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-18,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-19,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-20,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-21,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-22,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-23,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-24,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-25,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-26,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-27,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
2026-06-28,0.04,1.2,BTC+FB+NMC,12Th,190,0.06
