date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,16.48,494.4,INITVERSE,850Mh,500,0.06
2026-05-10,16.48,494.4,INITVERSE,850Mh,500,0.06
2026-05-11,16.48,494.4,INITVERSE,850Mh,500,0.06
2026-05-12,17.63,528.9,INITVERSE,850Mh,500,0.06
2026-05-13,17.12,513.6,INITVERSE,850Mh,500,0.06
2026-05-14,17.42,522.6,INITVERSE,850Mh,500,0.06
2026-05-15,16.23,486.9,INITVERSE,850Mh,500,0.06
2026-05-16,17.4,522.0,INITVERSE,850Mh,500,0.06
2026-05-17,17.4,522.0,INITVERSE,850Mh,500,0.06
2026-05-18,17.4,522.0,INITVERSE,850Mh,500,0.06
2026-05-19,17.06,511.8,INITVERSE,850Mh,500,0.06
2026-05-20,13.71,411.3,INITVERSE,850Mh,500,0.06
2026-05-21,6.11,183.3,INITVERSE,850Mh,500,0.06
2026-05-22,4.18,125.4,INITVERSE,850Mh,500,0.06
2026-05-23,4.18,125.4,INITVERSE,850Mh,500,0.06
2026-05-24,4.18,125.4,INITVERSE,850Mh,500,0.06
2026-05-25,1.59,47.7,INITVERSE,850Mh,500,0.06
2026-05-26,0.12,3.6,INITVERSE,850Mh,500,0.06
2026-05-28,0.48,14.4,INITVERSE,850Mh,500,0.06
2026-05-29,0.36,10.8,INITVERSE,850Mh,500,0.06
