date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,46.8,1404.0,INITVERSE,2.4Gh,1280,0.06
2026-05-10,46.8,1404.0,INITVERSE,2.4Gh,1280,0.06
2026-05-11,46.8,1404.0,INITVERSE,2.4Gh,1280,0.06
2026-05-12,50.03,1500.9,INITVERSE,2.4Gh,1280,0.06
2026-05-13,48.6,1458.0,INITVERSE,2.4Gh,1280,0.06
2026-05-14,49.44,1483.2,INITVERSE,2.4Gh,1280,0.06
2026-05-15,46.08,1382.4,INITVERSE,2.4Gh,1280,0.06
2026-05-16,49.37,1481.1,INITVERSE,2.4Gh,1280,0.06
2026-05-17,49.37,1481.1,INITVERSE,2.4Gh,1280,0.06
2026-05-18,49.37,1481.1,INITVERSE,2.4Gh,1280,0.06
2026-05-19,48.42,1452.6,INITVERSE,2.4Gh,1280,0.06
2026-05-20,38.97,1169.1,INITVERSE,2.4Gh,1280,0.06
2026-05-21,17.51,525.3,INITVERSE,2.4Gh,1280,0.06
2026-05-22,12.06,361.8,INITVERSE,2.4Gh,1280,0.06
2026-05-23,12.06,361.8,INITVERSE,2.4Gh,1280,0.06
2026-05-24,12.06,361.8,INITVERSE,2.4Gh,1280,0.06
2026-05-25,4.74,142.2,INITVERSE,2.4Gh,1280,0.06
2026-05-26,0.58,17.4,INITVERSE,2.4Gh,1280,0.06
2026-05-28,1.59,47.7,INITVERSE,2.4Gh,1280,0.06
2026-05-29,1.26,37.8,INITVERSE,2.4Gh,1280,0.06
2026-05-30,1.26,37.8,INITVERSE,2.4Gh,1280,0.06
2026-05-31,1.26,37.8,INITVERSE,2.4Gh,1280,0.06
2026-06-01,1.9,57.0,INITVERSE,2.4Gh,1280,0.06
2026-06-02,1.9,57.0,INITVERSE,2.4Gh,1280,0.06
2026-06-03,1.04,31.2,INITVERSE,2.4Gh,1280,0.06
2026-06-04,1.27,38.1,INITVERSE,2.4Gh,1280,0.06
2026-06-05,0.9,27.0,INITVERSE,2.4Gh,1280,0.06
