date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.05,31.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-10,1.05,31.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-11,1.05,31.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-12,0.29,8.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-13,0.3,9.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-14,0.39,11.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-15,0.57,17.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-16,0.33,9.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-17,0.33,9.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-18,0.33,9.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
2026-05-19,0.29,8.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,14Gh,4000,0.06
