date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,4.5,135.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-10,4.5,135.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-11,4.5,135.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-12,3.53,105.9,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-13,3.54,106.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-14,3.65,109.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-15,3.89,116.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-16,3.58,107.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-17,3.58,107.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-18,3.58,107.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-19,3.52,105.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-20,3.44,103.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-21,2.99,89.7,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-22,3.06,91.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-23,3.06,91.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-24,3.06,91.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-25,2.82,84.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-26,2.66,79.8,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-27,2.74,82.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-28,2.31,69.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-29,2.42,72.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-30,2.42,72.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-05-31,2.42,72.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-01,2.78,83.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-02,2.78,83.4,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-03,2.8,84.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-04,2.4,72.0,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-05,2.07,62.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-06,2.07,62.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-07,2.07,62.1,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-08,1.44,43.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-09,1.45,43.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-10,1.34,40.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-11,1.34,40.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-12,1.34,40.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-13,2.02,60.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-14,2.15,64.5,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-15,2.31,69.3,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-16,2.04,61.2,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-17,2.12,63.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
2026-06-18,2.12,63.6,LTC+DOGE+BEL+LKY+PEP+JKC+DINGO,18Gh,3500,0.06
