date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,0.17,5.1,BTC+FB+NMC,334Th,6646,0.06
2026-05-13,0.16,4.8,BTC+FB+NMC,334Th,6646,0.06
2026-05-15,0.19,5.7,BTC+FB+NMC,334Th,6646,0.06
2026-08-27,0.49,14.7,BTC+FB+NMC,334Th,6646,0.06
2026-08-28,0.49,14.7,BTC+FB+NMC,334Th,6646,0.06
2026-08-29,0.49,14.7,BTC+FB+NMC,334Th,6646,0.06
2026-08-30,0.49,14.7,BTC+FB+NMC,334Th,6646,0.06
2026-08-31,0.49,14.7,BTC+FB+NMC,334Th,6646,0.06
2026-09-01,0.38,11.4,BTC+FB+NMC,334Th,6646,0.06
2026-09-02,0.18,5.4,BTC+FB+NMC,334Th,6646,0.06
2026-09-03,0.1,3.0,BTC+FB+NMC,334Th,6646,0.06
2026-09-04,0.1,3.0,BTC+FB+NMC,334Th,6646,0.06
2026-09-05,0.1,3.0,BTC+FB+NMC,334Th,6646,0.06
2026-09-06,0.1,3.0,BTC+FB+NMC,334Th,6646,0.06
2026-09-07,0.1,3.0,BTC+FB+NMC,334Th,6646,0.06
2026-09-08,0.35,10.5,BTC+FB+NMC,334Th,6646,0.06
2026-09-09,0.29,8.7,BTC+FB+NMC,334Th,6646,0.06
2026-09-10,0.2,6.0,BTC+FB+NMC,334Th,6646,0.06
2026-09-11,0.2,6.0,BTC+FB+NMC,334Th,6646,0.06
