date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.04,61.2,BTC+FB+NMC,416Th,7215,0.06
2026-05-10,2.04,61.2,BTC+FB+NMC,416Th,7215,0.06
2026-05-11,2.04,61.2,BTC+FB+NMC,416Th,7215,0.06
2026-05-12,2.25,67.5,BTC+FB+NMC,416Th,7215,0.06
2026-05-13,2.24,67.2,BTC+FB+NMC,416Th,7215,0.06
2026-05-14,1.95,58.5,BTC+FB+NMC,416Th,7215,0.06
2026-05-15,2.28,68.4,BTC+FB+NMC,416Th,7215,0.06
2026-05-16,1.39,41.7,BTC+FB+NMC,416Th,7215,0.06
2026-05-17,1.39,41.7,BTC+FB+NMC,416Th,7215,0.06
2026-05-18,1.39,41.7,BTC+FB+NMC,416Th,7215,0.06
2026-05-19,0.98,29.4,BTC+FB+NMC,416Th,7215,0.06
2026-05-20,0.91,27.3,BTC+FB+NMC,416Th,7215,0.06
2026-05-21,1.04,31.2,BTC+FB+NMC,416Th,7215,0.06
2026-05-22,1.07,32.1,BTC+FB+NMC,416Th,7215,0.06
2026-05-23,1.07,32.1,BTC+FB+NMC,416Th,7215,0.06
2026-05-24,1.07,32.1,BTC+FB+NMC,416Th,7215,0.06
2026-05-25,0.96,28.8,BTC+FB+NMC,416Th,7215,0.06
2026-05-26,0.9,27.0,BTC+FB+NMC,416Th,7215,0.06
2026-05-27,0.73,21.9,BTC+FB+NMC,416Th,7215,0.06
2026-05-28,0.49,14.7,BTC+FB+NMC,416Th,7215,0.06
2026-05-29,0.27,8.1,BTC+FB+NMC,416Th,7215,0.06
2026-05-30,0.27,8.1,BTC+FB+NMC,416Th,7215,0.06
2026-05-31,0.27,8.1,BTC+FB+NMC,416Th,7215,0.06
2026-06-01,0.05,1.5,BTC+FB+NMC,416Th,7215,0.06
2026-06-02,0.05,1.5,BTC+FB+NMC,416Th,7215,0.06
2026-06-16,0.03,0.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-17,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-18,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-19,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-20,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-21,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-22,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
2026-06-23,0.13,3.9,BTC+FB+NMC,416Th,7215,0.06
