date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.8,24.0,BTC+FB+NMC,298Th,5513,0.06
2026-05-10,0.8,24.0,BTC+FB+NMC,298Th,5513,0.06
2026-05-11,0.8,24.0,BTC+FB+NMC,298Th,5513,0.06
2026-05-12,0.95,28.5,BTC+FB+NMC,298Th,5513,0.06
2026-05-13,0.94,28.2,BTC+FB+NMC,298Th,5513,0.06
2026-05-14,0.74,22.2,BTC+FB+NMC,298Th,5513,0.06
2026-05-15,0.97,29.1,BTC+FB+NMC,298Th,5513,0.06
2026-05-16,0.33,9.9,BTC+FB+NMC,298Th,5513,0.06
2026-05-17,0.33,9.9,BTC+FB+NMC,298Th,5513,0.06
2026-05-18,0.33,9.9,BTC+FB+NMC,298Th,5513,0.06
2026-05-19,0.04,1.2,BTC+FB+NMC,298Th,5513,0.06
2026-05-21,0.09,2.7,BTC+FB+NMC,298Th,5513,0.06
2026-05-22,0.11,3.3,BTC+FB+NMC,298Th,5513,0.06
2026-05-23,0.11,3.3,BTC+FB+NMC,298Th,5513,0.06
2026-05-24,0.11,3.3,BTC+FB+NMC,298Th,5513,0.06
