date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-08-27,1.24,37.2,BTC+FB+NMC,298Th,5513,0.06
2026-08-28,1.24,37.2,BTC+FB+NMC,298Th,5513,0.06
2026-08-29,1.24,37.2,BTC+FB+NMC,298Th,5513,0.06
2026-08-30,1.24,37.2,BTC+FB+NMC,298Th,5513,0.06
2026-08-31,1.24,37.2,BTC+FB+NMC,298Th,5513,0.06
2026-09-01,1.14,34.2,BTC+FB+NMC,298Th,5513,0.06
2026-09-02,0.96,28.8,BTC+FB+NMC,298Th,5513,0.06
2026-09-03,0.89,26.7,BTC+FB+NMC,298Th,5513,0.06
2026-09-04,0.89,26.7,BTC+FB+NMC,298Th,5513,0.06
2026-09-05,0.89,26.7,BTC+FB+NMC,298Th,5513,0.06
2026-09-06,0.89,26.7,BTC+FB+NMC,298Th,5513,0.06
2026-09-07,0.89,26.7,BTC+FB+NMC,298Th,5513,0.06
2026-09-08,1.12,33.6,BTC+FB+NMC,298Th,5513,0.06
2026-09-09,1.06,31.8,BTC+FB+NMC,298Th,5513,0.06
2026-09-10,0.98,29.4,BTC+FB+NMC,298Th,5513,0.06
2026-09-11,0.98,29.4,BTC+FB+NMC,298Th,5513,0.06
2026-09-12,0.8,24.0,BTC+FB+NMC,298Th,5513,0.06
2026-09-13,0.8,24.0,BTC+FB+NMC,298Th,5513,0.06
